BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
13170,,V,3,13335,WAG.1872829,F.J. Breteler,9813,C.C.H. Jongkind; J.J. Wieringa & J.-M. Moussavou,"LBV,MO,WAG",5,4,1990,5 April 1990,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,20,2,2001,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.916667,S,9.833333,E,,3,,,,-1.916667,9.833333,SE19,0,0,Costus,afer,Ker Gawl.,0,36,9766,1551,76,0
15073,,V,2,15260,WAG.1872773,C.C.H. Jongkind,1937,D.K. Abbiw & C.M. Markwei,"MO,WAG",2,12,1994,2 December 1994,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ghana,Ashanti Region,,,0,,0,0,0,0,No,No,6.476667,N,-1.56,W,,6,,,,6.476667,-1.56,NW61,350,0,Costus,afer,Ker Gawl.,0,36,9766,1551,79,0
21523,,V,5,21780,WAG.1872794,W.J. van der Burg,1083,,"BR,MO,WAG",18,9,1975,18 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Man,,,0,,0,0,0,0,No,No,7.433333,N,-7.816667,W,,4,,,,7.433333,-7.816667,NW77,1000,0,Costus,afer,Ker Gawl.,0,36,9766,1551,235,0
21806,,V,3,22062,WAG0231662,J.J. Bos,3226,,WAG,6,11,1968,6 November 1968,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.95,N,9.916667,E,,3,,,,2.95,9.916667,NE29,0,0,Costus,afer,Ker Gawl.,0,36,9766,1551,46,0
29847,,V,2,30383,WAG.1872789,H.J. Beentje,1113,,"UCJ,WAG",28,9,1975,28 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Aboisso,,,0,,0,0,0,0,No,No,5.466667,N,-3.033333,W,,5,,,,5.466667,-3.033333,NW53,25,0,Costus,afer,Ker Gawl.,0,36,9766,1551,235,0
35344,,V,1,32456,WAG.1872803,J. de Koning,15,,WAG,21,1,1970,21 January 1970,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,20,2,2001,,,Africa,West Tropical Africa,Ivory Coast,Agboville,,,0,,0,0,0,0,No,No,5.7,N,-3.983333,W,,4,,,,5.7,-3.983333,NW53,50,0,Costus,afer,Ker Gawl.,0,36,9766,1551,235,0
37558,,V,1,34769,WAG.1872797,J. de Koning,2234,,WAG,17,9,1973,17 September 1973,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,Yes,No,5.383333,N,-4.05,W,,4,,,,5.383333,-4.05,NW54,0,0,Costus,afer,Ker Gawl.,0,36,9766,1551,235,0
37858,,V,1,35075,WAG.1872798,J. de Koning,2541,,WAG,26,10,1973,26 October 1973,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,Yes,No,5.383333,N,-4.05,W,,4,,,,5.383333,-4.05,NW54,0,0,Costus,afer,Ker Gawl.,0,36,9766,1551,235,0
38355,,V,1,35590,WAG.1872796,J. de Koning,2953,,WAG,17,12,1973,17 December 1973,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,Yes,No,5.383333,N,-4.05,W,,4,,,,5.383333,-4.05,NW54,0,0,Costus,afer,Ker Gawl.,0,36,9766,1551,235,0
38371,,V,1,35606,WAG.1872795,J. de Koning,2970,,WAG,17,12,1973,17 December 1973,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus afer Ker Gawl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,Yes,No,5.383333,N,-4.05,W,,4,,,,5.383333,-4.05,NW54,0,0,Costus,afer,Ker Gawl.,0,36,9766,1551,235,0
