BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
15219,,V,2,15406,WAG.1898491,C.C.H. Jongkind,2072,D.K. Abbiw & C.M. Markwei,"MO,WAG",28,2,1995,28 February 1995,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ghana,Western Region,,,0,,0,0,0,0,No,No,5.216667,N,-2.651667,W,,6,,,,5.216667,-2.651667,NW52,100,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,79,0
19878,,V,4,20123,WAG.1898518,W.J. van der Burg,587,,"MO,WAG",17,6,1975,17 June 1975,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,No,No,5.383333,N,-4.05,W,,4,,,,5.383333,-4.05,NW54,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
20938,,V,6,21189,WAG.1898521,W.J. van der Burg,673,,"BR,FR,MO,UCJ,WAG",25,7,1975,25 July 1975,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,No,No,5.383333,N,-4.05,W,,4,,,,5.383333,-4.05,NW54,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
21277,,V,1,21533,WAG.1898520,W.J. van der Burg,930,,WAG,4,9,1975,4 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Tabou,,,0,,0,0,0,0,No,No,4.416667,N,-7.35,W,,3,,,,4.416667,-7.35,NW47,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
27175,,V,3,27618,WAG.1898513,H.J. Beentje,273,,"UCJ,WAG",14,5,1975,14 May 1975,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,No,No,5.416667,N,-4.05,W,,4,,,,5.416667,-4.05,NW54,50,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
28415,,V,3,28879,WAG.1898511,H.J. Beentje,447,,"AMD,UCJ,WAG",18,6,1975,18 June 1975,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Aboisso,,,0,,0,0,0,0,No,No,5.416667,N,-3.016667,W,,4,,,,5.416667,-3.016667,NW53,50,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
29846,,V,2,30382,WAG.1898516,H.J. Beentje,1112,,"UCJ,WAG",28,9,1975,28 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Aboisso,,,0,,0,0,0,0,No,No,5.466667,N,-3.033333,W,,5,,,,5.466667,-3.033333,NW53,25,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
36252,,V,4,33412,WAG.1898502,J. de Koning,887,,"BR,E,MO,WAG",11,12,1972,11 December 1972,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,No,No,5.416667,N,-4.05,W,,4,,,,5.416667,-4.05,NW54,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
37185,,V,4,34382,WAG.1898501,J. de Koning,1859,,"BR,MO,WAG",9,7,1973,9 July 1973,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,No,No,5.416667,N,-4.066667,W,,5,,,,5.416667,-4.066667,NW54,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
37342,,V,3,34545,WAG.1898499,J. de Koning,2010,,"BR,MO,WAG",26,7,1973,26 July 1973,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,No,No,5.4,N,-4.05,W,,5,,,,5.4,-4.05,NW54,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
