BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
17333,,V,5,17541,WAG.1578045,A.M. Louis,2390,F.J. Sterck & A.A. Elias,"L,MO,PR,WAG,WAG",0,10,1987,October 1987,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.098333,N,13.191667,E,,5,,,,1.098333,13.191667,NE113,580,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,76,0
22033,,V,9,22291,WAG.1872324,J.J. Bos,3445,,"WAG,WAG",5,12,1968,5 December 1968,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.85,N,10,E,,3,,,,2.85,10,NE210,0,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
52295,,V,7,,WAG.1872332,J.J. Bos,4547,,"BR,L,P,WAG,WAG",17,5,1969,17 May 1969,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.85,N,10,E,,,,,,2.85,10,NE210,0,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
53926,,V,9,,WAG.1872343,J.J. Bos,6125,,"BR,MO,P,WAG,WAG,YA",14,1,1970,14 January 1970,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.783333,N,10.016667,E,,,,,,2.783333,10.016667,NE210,0,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
54984,,V,12,,WAG.1872339,J.J. Bos,7142,,"BR,K,L,LMA,M,MO,P,WAG,WAG,YA",24,7,1970,24 July 1970,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.7,N,9.883333,E,,,,,,2.7,9.883333,NE29,0,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
59125,,V,2,,WAG.1872335,D. Ndoum,67,,"KRIBI,WAG",9,8,1996,9 August 1996,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,M.E. Elad,0,0,0,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,Ebom,0,,0,0,0,0,No,No,3.066667,N,10.716667,E,,,,,,3.066667,10.716667,NE310,400,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
61519,,V,3,,WAG.1872340,W.J.J.O. de Wilde,1584,B.E.E. de Wilde-Duyfjes,"P,WAG,WAG",20,12,1963,20 December 1963,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,Central Province,,,0,,0,0,0,0,No,No,3.6,N,10.616667,E,,3,,,,3.6,10.616667,NE310,0,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
72726,,V,6,,WAG.1872320,A.J.M. Leeuwenberg,6710,,"BR,P,WAG,WAG",14,9,1965,14 September 1965,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,East Province,,,0,,0,0,0,0,No,No,3.166667,N,13.683333,E,,,,,,3.166667,13.683333,NE313,680,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
165980,,V,8,,WAG0146035,T.R. van Andel,3549,"P.J.M. Maas; H. Maas-van de Kamer; B. Mva; M.J. Jansen-Jacobs & Essa, F","KRIBI,SCA,U,WAG,WAG,YA",10,6,2001,10 June 2001,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,Elephant Mont,0,,0,0,0,2,No,No,2.803889,N,10.035,E,DMS,6,,,,2.803889,10.035,NE210,23,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
174675,,V,1,,,A.H. Gentry,33579,,MO,26,7,1981,26 July 1981,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.116667,N,13.183333,E,,3,,,,1.116667,13.183333,NE113,900,980,Costus,dinklagei,K.Schum.,0,36,9766,31026,76,0
179878,,V,1,,,N. Hall,4129,,P,28,6,1966,28 June 1966,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.083333,N,13.2,E,,4,,,,1.083333,13.2,NE113,0,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,76,0
183386,,V,2,,WAG.1872342,D.W. Thomas,2225,,"MO,WAG",6,7,1983,6 July 1983,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,7,11,2002,,,Africa,West-Central Tropical Afr,Cameroon,South-West Province,,,0,,0,0,0,0,No,No,4.916667,N,8.833333,E,,,,,,4.916667,8.833333,NE48,50,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,46,0
191223,,V,4,,WAG.1867354,J.S. Strijk,314,,"E,LBV,WAG,WAG",25,10,2002,25 October 2002,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dinklagei K.Schum.,P.J.M. Maas,0,2,2008,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,3,No,No,1.066667,N,11.716667,E,,4,,,,1.066667,11.716667,NE111,590,0,Costus,dinklagei,K.Schum.,0,36,9766,31026,76,0
