BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
2494,,V,2,2526,WAG.1872311,J. Schoenmaker,113,,WAG,8,11,1991,8 November 1991,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.916667,S,9.916667,E,,3,,,,-1.916667,9.916667,SE19,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,76,0
2507,,V,2,2539,WAG.1872309,J. Schoenmaker,126,,WAG,11,11,1991,11 November 1991,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.983333,S,9.85,E,,3,,,,-1.983333,9.85,SE19,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,76,0
12709,,V,1,12870,WAG.1872313,F.J. Breteler,8923,C.C.H. Jongkind & J.J. Dibata,WAG,23,4,1988,23 April 1988,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,0.2,N,11.883333,E,,5,,,,0.2,11.883333,NE011,350,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,76,0
13020,,V,6,13183,WAG.1872287,F.J. Breteler,9658,C.C.H. Jongkind; J.J. Wieringa & J.-M. Moussavou,"BR,LBV,MO,WAG",30,3,1990,30 March 1990,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas,10,2,2000,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.916667,S,9.833333,E,,3,,,,-1.916667,9.833333,SE19,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,76,0
17276,,V,3,17481,WAG.1872290,A.M. Louis,2327,F.J. Sterck & A.A. Elias,"L,MO,WAG",0,10,1987,October 1987,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.113333,N,13.166667,E,,5,,,,1.113333,13.166667,NE113,750,900,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,76,0
19393,,V,3,19658,WAG.1872294,W.J. van der Burg,215,,WAG,9,5,1975,9 May 1975,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Divo,,,0,,0,0,0,0,No,No,5.083333,N,-5.833333,W,,4,,,,5.083333,-5.833333,NW55,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
20401,,V,2,20648,WAG.1872316,J.J. Wieringa,314,,"LBV,WAG",27,12,1989,27 December 1989,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.616667,N,10.45,E,,5,,,,0.616667,10.45,NE010,600,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,76,0
20939,,V,7,21190,WAG.1872280,W.J. van der Burg,674,,"BR,FR,MO,UCJ,WAG",25,7,1975,25 July 1975,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,,0,,0,0,0,0,No,No,5.383333,N,-4.05,W,,4,,,,5.383333,-4.05,NW54,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
21204,,V,6,21460,WAG.1872284,W.J. van der Burg,847,,"BR,MO,WAG",1,9,1975,1 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Tabou,,,0,,0,0,0,0,No,No,4.533333,N,-7.3,W,,4,,,,4.533333,-7.3,NW47,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
21205,,V,3,21461,WAG.1872299,W.J. van der Burg,848,,WAG,1,9,1975,1 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,7,11,2002,,,Africa,West Tropical Africa,Ivory Coast,Tabou,,,0,,0,0,0,0,No,No,4.533333,N,-7.3,W,,4,,,,4.533333,-7.3,NW47,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
21278,,V,1,21534,WAG.1872277,W.J. van der Burg,931,,WAG,4,9,1975,4 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Tabou,,,0,,0,0,0,0,No,No,4.416667,N,-7.35,W,,3,,,,4.416667,-7.35,NW47,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
21302,,V,1,21558,WAG.1872261,W.J. van der Burg,955,,WAG,6,9,1975,6 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Guiglo,,,0,,0,0,0,0,No,No,5.866667,N,-7.416667,W,,5,,,,5.866667,-7.416667,NW57,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
21585,,V,3,21841,WAG.1872297,W.J. van der Burg,1133,,"MO,WAG",19,9,1975,19 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Man,,,0,,0,0,0,0,No,No,7.4,N,-7.583333,W,,5,,,,7.4,-7.583333,NW77,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
22763,,V,1,23030,WAG.1872238,C.C.H. Jongkind,2823,,WAG,23,5,1996,23 May 1996,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ghana,Volta Region,,,0,,0,0,0,0,No,No,8.316667,N,0.583333,E,,4,,,,8.316667,0.583333,NE80,350,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,79,0
29778,,V,6,30309,WAG.1872264,J.J. Bos,1849,,"K,LIB,WAG,WAG",30,3,1966,30 March 1966,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Liberia,Montserrado,,,0,,0,0,0,0,No,No,6.266667,N,-10.666667,W,,4,,,,6.266667,-10.666667,NW610,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,119,0
38008,,V,3,35229,WAG.1872302,J. de Koning,2662,,"MO,WAG",11,11,1973,11 November 1973,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Sassandra,,,0,,0,0,0,1.5,No,No,5.05,N,-6.233333,W,,4,,,,5.05,-6.233333,NW56,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
52852,,V,6,,WAG.1872347,J.J. Bos,5105,,"BR,P,WAG,WAG",23,7,1969,23 July 1969,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas;,22,12,2010,,,Africa,West-Central Tropical Afr,Cameroon,South-West Province,,,0,,0,0,0,0,No,No,4.483333,N,9.15,E,,,,,,4.483333,9.15,NE49,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,46,0
53472,,V,7,,WAG.1872306,J.J. Bos,5728,,"P,WAG,WAG",28,11,1969,28 November 1969,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas;,21,12,2010,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,3.133333,N,10.016667,E,,,,,,3.133333,10.016667,NE310,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,46,0
55150,,V,7,,WAG.1872350,J.J. Bos,7308,F.J. Breteler,"P,WAG,WAG",26,8,1970,26 August 1970,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas;,21,12,2010,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.633333,N,9.85,E,,,,,,2.633333,9.85,NE29,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,46,0
56397,,V,3,,WAG.1872357,F.J. Breteler,1209,,"WAG,WAG",15,3,1961,15 March 1961,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,East Province,,,0,,0,0,0,0,No,No,4.65,N,13.65,E,,,,,,4.65,13.65,NE413,650,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,46,0
74347,,V,2,,WAG.1872275,C. Geerling,718,J. Bokdam,WAG,12,8,1967,12 August 1967,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,20,2,2001,,,Africa,West Tropical Africa,Ivory Coast,Bouna,,,0,,0,0,0,2,No,No,8.65,N,-3.8,W,,4,,,,8.65,-3.8,NW83,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,235,0
75058,,V,1,,WAG.1872263,P.P.C. van Meer,138,,WAG,14,8,1965,14 August 1965,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Liberia,Montserrado,,,0,,0,0,0,0,No,No,6.533333,N,-10.733333,W,,4,,,,6.533333,-10.733333,NW610,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,119,0
