BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
1386,,V,1,1396,WAG.1872212,J.C. Arends,304,J.J.F.E. de Wilde & A.M. Louis,WAG,19,11,1984,19 November 1984,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.25,S,10.9,E,,5,,,,-1.25,10.9,SE110,370,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1705,,V,1,1725,WAG.1872214,J.C. Arends,633,J.J.F.E. de Wilde & A.M. Louis,WAG,5,12,1984,5 December 1984,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Doudou Mountains,0,,0,0,0,0,No,No,-2.25,S,10.333333,E,,3,,,,-2.25,10.333333,SE210,350,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
12118,,V,2,12276,WAG.1872231,F.J. Breteler,8214,R.H.M.J. Lemmens & T. Nzabi,WAG,25,9,1986,25 September 1986,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,20,2,2001,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.75,S,11.333333,E,,5,,,,-1.75,11.333333,SE111,350,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
18412,,V,2,18629,WAG.1872228,A.M. Louis,853,F.J. Breteler & J. de Bruijn,WAG,25,11,1983,25 November 1983,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.65,S,11.766667,E,,5,,,,-1.65,11.766667,SE111,700,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
18460,,V,2,18677,WAG.1872230,A.M. Louis,901,F.J. Breteler & J. de Bruijn,WAG,26,11,1983,26 November 1983,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.65,S,11.766667,E,,5,,,,-1.65,11.766667,SE111,800,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
68430,,V,3,,WAG.1872213,F.J. Breteler,15175,G. Caball; Y. Azizet Issemb; J.-M. Moussavou & O. Pascal,"LBV,MO,WAG",22,2,1999,22 February 1999,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Lolo,,,0,,0,0,0,0,No,No,-0.683333,S,11.916667,E,,4,,,,-0.683333,11.916667,SE011,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
118236,,V,6,,WAG.1872219,J.J. Wieringa,3551,C.C.H. Jongkind; J.G. Schoonhoven & M. Mbombet,"BR,LBV,MO,WAG,WAG",24,12,2000,24 December 2000,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,H. Maas-van de Kamer,20,2,2001,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0.9,No,No,0.752,N,13.2635,E,,7,,,,0.752,13.2635,NE013,500,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
161071,,V,1,,,G.M.P.C. Le Testu,2069,,P,0,6,1915,June 1915,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,,0,0,0,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-2.75,S,11,E,,2,,,,-2.75,11,SE211,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
161226,,V,8,,,G.M.P.C. Le Testu,2240,,"A,B,BM,BR,G,K,L,P,P",27,10,1917,27 October 1917,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,J. Koechlin,0,0,1964,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.25,S,10.95,E,,4,,,,-1.25,10.95,SE110,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
166995,,V,1,,,G.M.P.C. Le Testu,5401,,P,25,4,1925,25 April 1925,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-2.05,S,11.616667,E,,4,,,,-2.05,11.616667,SE211,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
190466,,V,3,,WAG.1872217,J.L.C.H. van Valkenburg,2649,C.C.H. Jongkind; R. Niangadouma & A.J. Mabicka,"LBV,MO,WAG",28,11,2003,28 November 2003,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,Doudou Mountains,0,,0,0,0,1,No,No,-2.625833,S,10.541,E,,7,,,,-2.625833,10.541,SE210,400,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
199112,,V,5,,WAG.1872233,M.S.M. Sosef,1850,"J.L.C.H. van Valkenburg; Versteegh, CPC & Mayombo, J","E,LBV,MO,PR,WAG",2,2,2003,2 February 2003,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,"H. Maas-van de Kamer; Maas, EJM de",23,4,2012,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-2.076667,S,11.45,E,,6,,,,-2.076667,11.45,SE211,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
970790,,V,3,,WAG.1872222,C.M. Wilks,998,,"MO,WAG",16,10,1984,16 October 1984,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,1,No,No,-2,S,11.633333,E,,,Sheet,,,-2,11.633333,SE210,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1129135,,V,6,,WAG.1872209,P. Bissiengou,339,F.J. Breteler; R. Niangadouma & J.-N. Boussiengui,"E,LBV,MO,PR,WAG",19,10,2009,19 October 2009,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,,0,0,0,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0.5,No,No,-3.092694,S,10.797111,E,DMS,6,,,,-3.092694,10.797111,SE310,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1137471,,V,3,,WAG.1872211,M.E. Leal,1884,D. Nguema Ekomo; E. Mounoumoulossi & P. Bissiemou,"LBV,MO,WAG",5,10,2007,5 October 2007,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,H. Maas-van de Kamer,0,0,2010,,100160303,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.614167,S,11.763333,E,DMS,6,GPS,,,-1.614167,11.763333,SE111,995,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1239176,,V,3,,WAG.1872216,P. Bissiengou,1184,V. Boulanga; R. Niangadouma & J.-N. Boussiengui,"LBV,WAG,WAG",13,3,2010,13 March 2010,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,1,No,No,0.80725,N,13.472,E,DMS,7,GPS,,,0.80725,13.472,NE013,774,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1260135,,V,5,,WAG.1872223,P.J.M. Maas,10291,F.J. Breteler; H. Maas-van de Kamer; R. Niangadouma & C.D. Specht,"L,LBV,WAG,WAG",13,11,2011,13 November 2011,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,1.5,No,No,-1.960639,S,10.648167,E,DMS,6,GPS,,,-1.960639,10.648167,SE110,375,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1302938,,V,2,,WAG.1872226,D.K. Quiroz-Villarreal,1729,S. Mogangu & J.-O. Mondo-Madouma,WAG,7,10,2012,7 October 2012,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas,15,1,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0.7,No,No,-1.061111,S,11.184722,E,DMS,7,GPS,,,-1.061111,11.184722,SE111,418,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1379601,,V,2,,,E. Bidault,996,R.C. Nyangala & J.-N. Boussiengui,"LBV,MO",25,10,2012,25 October 2012,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2012,,100554362,Africa,West-Central Tropical Afr,Gabon,Moyen-Ogoou,,,0,,0,0,0,0,No,No,-0.776111,S,10.534722,E,DMS,7,GPS,,,-0.776111,10.534722,SE010,29,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1379785,,V,2,,,G.V. Dauby,3036,E. Akouangou; D.U. Ikabanga & Y. Azizet Issemb,"LBV,MO",31,10,2012,31 October 2012,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,12,2012,,100556040,Africa,West-Central Tropical Afr,Gabon,Moyen-Ogoou,,,0,,0,0,0,0,No,No,-0.808056,S,10.537778,E,DMS,7,GPS,,,-0.808056,10.537778,SE010,73,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
4043430,,V,2,,WAG.1872234,P.J.M. Maas,10465,,"L,WAG",24,5,2013,24 May 2013,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.960556,S,10.648056,E,DMS,6,GPS,,,-1.960556,10.648056,SE110,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
4472322,,V,3,,WAG.1575553,J.J. Wieringa,8452,P.H. Hoekstra; B.A. Mackinder & V. Boulanga,WAG,19,11,2015,19 November 2015,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas,19,2,2016,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0.9,No,No,-2.705833,S,11.16845,E,DM,8,GPS,WGS84,,-2.705833,11.16845,SE211,327,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
4477076,,V,0,,,A.C. Ley,418,,BRLU,7,11,2008,7 November 2008,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,,7,11,2008,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-2.022367,S,12.053417,E,DM,7,,,,-2.022367,12.053417,SE212,0,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
