BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
4042791,,V,0,,,A.J.B. Chevalier,14320,,P,0,8,1905,August 1905,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.3,N,6.65,E,DM,,,,,0.3,6.65,NE06,0,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4042792,,V,0,,,A.J.B. Chevalier,14329,,P,0,8,1905,August 1905,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.3,N,6.65,E,DM,,,,,0.3,6.65,NE06,0,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4042793,,V,0,,,A.J.B. Chevalier,14480,,P,0,8,1905,August 1905,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.283333,N,6.6,E,DM,,,,,0.283333,6.6,NE06,1450,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4042969,,V,2,,,J.V.G. do Espirito Santo,138,,"BM,K",14,1,1949,14 January 1949,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.3,N,6.65,E,DM,,,,,0.3,6.65,NE06,600,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4042984,,V,0,,,A.W. Exell,256,,BM,5,11,1932,5 November 1932,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.35,N,6.583333,E,DM,,,,,0.35,6.583333,NE06,1219,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4042985,,V,0,,,A.W. Exell,451,,BM,24,11,1932,24 November 1932,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.266667,N,6.616667,E,DM,,,,,0.266667,6.616667,NE06,1067,1219,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4042986,,V,0,,,A.W. Exell,653,,BM,21,12,1932,21 December 1932,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,1.566667,N,7.416667,E,DM,,,,,1.566667,7.416667,NE17,182,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4043019,,V,0,,,E. Figueiredo,104,"Arriegas, PI",K,26,10,1993,26 October 1993,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.266667,N,6.616667,E,DM,,,,,0.266667,6.616667,NE06,750,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4043462,,V,0,,,G. Mann,1146,,"K,P",0,0,1861,1861,,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,Principe Island,,,0,,0,0,0,0,No,No,1.616667,N,7.4,E,DM,3,FUZZY,,,1.616667,7.4,NE17,0,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4043518,,V,0,,,A.T. Monod,11851,,BM,10,8,1956,10 August 1956,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.266667,N,6.716667,E,DM,,,,,0.266667,6.716667,NE06,1400,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4044006,,V,0,,,F.M.J. Welwitsch,6465,,"BM,BR,NY",0,12,1860,December 1860,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Sao Tom & Principe,,,,0,,0,0,0,0,No,No,0.3,N,6.65,E,DM,,,,,0.3,6.65,NE06,609,853,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,247,0
4044041,,V,0,,,T.C. Wrigley,270,F.A. Melville,"BM,K",13,8,1959,13 August 1959,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus giganteus Welw. ex Ridl.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Equatorial Guinea,,,,0,,0,0,0,0,No,No,-1.4,S,5.616667,E,DM,,,,,-1.4,5.616667,SE15,45,0,Costus,giganteus,Welw. ex Ridl.,0,36,9766,46468,240,0
