BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
20012,,V,2,20259,WAG.1872582,C.C.H. Jongkind,1568,D.K. Abbiw & C.M. Markwei,"MO,WAG",8,6,1994,8 June 1994,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ghana,Eastern Region,,,0,,0,0,0,0,No,No,6.233333,N,-0.533333,W,,5,,,,6.233333,-0.533333,NW60,400,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,79,0
21194,,V,3,21450,WAG.1872569,W.J. van der Burg,833,,"MO,WAG",1,9,1975,1 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Tabou,,,0,,0,0,0,0,No,No,4.533333,N,-7.3,W,,4,,,,4.533333,-7.3,NW47,0,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,235,0
27023,,V,4,27464,WAG.1872571,H.J. Beentje,115,,"MO,PR,UCJ,WAG",9,5,1975,9 May 1975,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Sassandra,,,0,,0,0,0,0,No,No,5.083333,N,-5.9,W,,4,,,,5.083333,-5.9,NW55,25,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,235,0
74346,,V,1,,WAG.1872580,J.-G. Adam,28519,,WAG,10,7,1974,10 July 1974,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Liberia,Nimba,,Grassfield,0,,0,0,0,0,No,No,7.483333,N,-8.566667,W,,4,,,,7.483333,-8.566667,NW78,0,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,119,0
74349,,V,2,,WAG.1872572,W.J.J.O. de Wilde,1053,,WAG,10,10,1963,10 October 1963,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Tabou,,,0,,0,0,0,2,No,No,5.366667,N,-7.3,W,,3,,,,5.366667,-7.3,NW57,0,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,235,0
74350,,V,3,,WAG.1872581,J.K. Morton,2931,H.C.D. de Wit,"GC,K,WAG",9,1,1958,9 January 1958,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ghana,Eastern Region,,Atewa Range Forest Reserve,0,,0,0,0,0.65,No,No,6.283333,N,-0.583333,W,,4,,,,6.283333,-0.583333,NW60,0,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,79,0
76185,,V,1,,WAG.1872574,C.C.H. Jongkind,4946,J. Assi-Yapo,WAG,7,4,2000,7 April 2000,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Tabou,,,0,,0,0,0,1.2,No,No,4.73,N,-7.485,W,,6,,,,4.73,-7.485,NW47,0,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,235,0
76438,,V,2,,WAG.1570011,P. Albers,116,,WAG,8,5,1990,8 May 1990,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Guiglo,,,0,,0,0,0,0,No,No,6.116667,N,-7.4,W,,5,,,,6.116667,-7.4,NW67,200,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,235,0
84376,,V,1,,,J.-G. Adam,21477,,K,12,6,1965,12 June 1965,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Liberia,Nimba,,,0,,0,0,0,0,No,No,7.533333,N,-8.533333,W,,3,,,,7.533333,-8.533333,NW78,450,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,119,0
84378,,V,1,,,J.-G. Adam,20336,,K,17,12,1964,17 December 1964,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gracillimus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Liberia,Nimba,,,0,,0,0,0,0,No,No,7.533333,N,-8.533333,W,,3,,,,7.533333,-8.533333,NW78,450,0,Costus,gracillimus,Maas & H.Maas,0,36,9766,419836,119,0
