BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
1726,,V,2,1746,WAG.1872545,J.C. Arends,654,J.J.F.E. de Wilde & A.M. Louis,WAG,6,12,1984,6 December 1984,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Doudou Mountains,0,,0,0,0,0,No,No,-2.333333,S,10.25,E,,0,,,,-2.333333,10.25,SE210,260,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
3038,,V,3,3081,WAG.1872541,J.J.F.E. de Wilde,9898,J.C. Arends; A.M. Louis & J.J. Wieringa,"LBV,WAG",30,11,1989,30 November 1989,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.966667,S,9.866667,E,,5,,,,-1.966667,9.866667,SE19,70,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
6378,,V,3,6461,WAG.1872557,J.J.F.E. de Wilde,10948,L.J.G. van der Maesen,"LBV,WAG",24,1,1993,24 January 1993,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Echira,0,,0,0,0,0,No,No,-2.083333,S,9.85,E,,5,,,,-2.083333,9.85,SE29,70,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
19261,,V,1,19525,WAG.1872558,J.J.F.E. de Wilde,11630,L.J.G. van der Maesen & J.-M. Moussavou,WAG,15,12,1995,15 December 1995,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,20,2,2001,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.316667,S,10.45,E,,5,,,,-1.316667,10.45,SE110,400,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
29343,,V,3,29860,WAG.1872559,J.M. Reitsma,3565,,"LBV,WAG",21,1,1988,21 January 1988,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.916667,S,9.833333,E,,4,,,,-1.916667,9.833333,SE19,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
53047,,V,12,,WAG.1872538,J.J. Bos,5301,,"BR,C,K,L,LMA,MO,P,UPS,WAG,WAG,YA",5,9,1969,5 September 1969,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,3.183333,N,10.033333,E,,,,,,3.183333,10.033333,NE310,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,46,0
77793,,V,2,,WAG.1872547,A.M. Louis,2963,T. Nzabi,"LBV,WAG",23,4,1989,23 April 1989,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.666667,S,11.25,E,,,,,,-1.666667,11.25,SE111,550,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
160704,,V,3,,,G.M.P.C. Le Testu,1683,,"BM,K,P",12,1,1913,12 January 1913,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-2.666667,S,11.083333,E,,4,,,,-2.666667,11.083333,SE211,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
169042,,V,7,,WAG.1872535,X.M. van der Burgt,627,M.B. Eyakwe,"BR,G,K,MO,SCA,WAG,YA",5,3,2003,5 March 2003,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,X.M. van der Burgt,31,7,2003,,,Africa,West-Central Tropical Afr,Cameroon,South-West Province,Ndian,Korup National Park,0,,0,0,0,0,No,No,5.016667,N,8.783333,E,,5,,,,5.016667,8.783333,NE58,100,0,Costus,lateriflorus,Baker,0,36,9766,6447,46,0
175759,,V,1,,,L. Ngok Banak,1854,A. Moungazi & P. Mbazza,LBV,26,5,2003,26 May 2003,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,L. Ngok Banak,6,9,2004,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,Blinga,0,,0,0,0,1,No,No,1.166167,N,13.169667,E,,7,,,,1.166167,13.169667,NE113,803,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
182894,,V,1,,,N. Hall,5415,J.F. Villiers,P,20,2,1968,20 February 1968,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.55,N,10.133333,E,,4,,,,0.55,10.133333,NE010,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
183389,,V,2,,WAG.1872536,D.W. Thomas,6915,,"MO,WAG",25,3,1987,25 March 1987,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,7,11,2002,,,Africa,West-Central Tropical Afr,Cameroon,South-West Province,,,0,,0,0,0,0,No,No,4.95,N,8.9,E,,,,,,4.95,8.9,NE48,80,0,Costus,lateriflorus,Baker,0,36,9766,6447,46,0
269360,,V,1,,WAG.1872537,G.P. Tchouto Mbatchou,76,M.E. Elad; A. Nnangah & J. Nganwui,WAG,12,10,2001,12 October 2001,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,"Campo-Ma'an area, Bifa",0,,0,0,0,0.3,No,No,2.6575,N,10.283611,E,DMS,6,,,,2.6575,10.283611,NE210,120,0,Costus,lateriflorus,Baker,0,36,9766,6447,46,0
1305788,,V,2,1985PTGA386,WAG.1872544,J. de Bruijn,2669,,WAG,20,7,1987,20 July 1987,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Gamba,0,,0,0,0,0,Yes,No,-2.75,S,10,E,DM,3,BRAHMS,,,-2.75,10,SE210,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
4042717,,V,0,,,S. Cable,147,et al.,K,17,11,1993,17 November 1993,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,,,,0,,0,0,0,0,No,No,4.133333,N,9.016667,E,DM,,,,,4.133333,9.016667,NE49,70,0,Costus,lateriflorus,Baker,0,36,9766,6447,46,0
4043345,,V,0,,,R. Letouzey,9057,,P,15,3,1968,15 March 1968,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,,,,0,,0,0,0,0,No,No,2.95,N,9.916667,E,DM,3,map,,,2.95,9.916667,NE29,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,46,0
4043358,,V,0,,,R. Letouzey,12690,,P,11,1,1974,11 January 1974,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,,,,0,,0,0,0,0,No,No,3.666667,N,9.75,E,DM,4,,,,3.666667,9.75,NE39,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,46,0
4043370,,V,3,,,R. Letouzey,14915,,"BR,K,P",11,5,1976,11 May 1976,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,,,,0,,0,0,0,0,No,No,4.45,N,9.966667,E,DM,4,map,,,4.45,9.966667,NE49,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,46,0
4043460,,V,0,,,G. Mann,1629,,"K,P",1,8,1862,1 August 1862,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Equatorial Guinea,"Rio Muni, Litoral",,,0,,0,0,0,0,No,No,1.150088,N,9.40156,E,DM,3,Google,,,1.150088,9.40156,NE19,0,0,Costus,lateriflorus,Baker,0,36,9766,6447,240,0
