BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
504,,V,2,505,WAG.1872530,F.I. van Nek,417,,"LBV,WAG",29,11,1990,29 November 1990,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.941667,S,9.881667,E,,6,,,,-1.941667,9.881667,SE19,0,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
1429,,V,1,1439,WAG.1872501,J.C. Arends,347,J.J.F.E. de Wilde & A.M. Louis,WAG,21,11,1984,21 November 1984,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,7,11,2002,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.3,S,10.95,E,,5,,,,-1.3,10.95,SE110,320,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
1647,,V,2,1666,WAG.1872526,J.C. Arends,574,J.J.F.E. de Wilde & A.M. Louis,WAG,1,12,1984,1 December 1984,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,7,11,2002,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.666667,S,11.333333,E,,3,,,,-1.666667,11.333333,SE111,330,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
2474,,V,1,2506,WAG.1872532,J. Schoenmaker,93,,WAG,5,11,1991,5 November 1991,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.966667,S,9.866667,E,,4,,,,-1.966667,9.866667,SE19,0,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
2698,,V,2,2732,WAG.1872531,J. Schoenmaker,314,,"LBV,WAG",27,12,1991,27 December 1991,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.85,S,9.85,E,,4,,,,-1.85,9.85,SE19,0,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
2808,,V,2,2843,WAG.1872494,J.J.F.E. de Wilde,9660,J.C. Arends; A.M. Louis & J.J. Wieringa,"LBV,WAG",23,11,1989,23 November 1989,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,H. Maas-van de Kamer,0,2,2002,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.866667,S,9.833333,E,,5,,,,-1.866667,9.833333,SE19,25,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
2880,,V,1,2918,WAG.1872500,J.J.F.E. de Wilde,9735,J.C. Arends; A.M. Louis & J.J. Wieringa,WAG,25,11,1989,25 November 1989,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.9,S,9.883333,E,,5,,,,-1.9,9.883333,SE19,0,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
2917,,V,2,2957,WAG.1872496,J.J.F.E. de Wilde,9774,J.C. Arends; A.M. Louis & J.J. Wieringa,WAG,26,11,1989,26 November 1989,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Echira,0,,0,0,0,0,No,No,-2.05,S,9.816667,E,,5,,,,-2.05,9.816667,SE29,40,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
6962,,V,3,7058,WAG.1872495,R.M.A.P. Haegens,103,X.M. van der Burgt,"LBV,MO,WAG",4,12,1993,4 December 1993,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.916667,S,9.833333,E,,5,,,,-1.916667,9.833333,SE19,30,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
9654,,V,2,9791,WAG.1872512,F.J. Breteler,6253,,WAG,2,9,1970,2 September 1970,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Haut-Ogoou,,,0,,0,0,0,0,No,No,-1.65,S,13.283333,E,,5,,,,-1.65,13.283333,SE113,0,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
