BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
2152,,V,5,2180,WAG.1872476,J.J. Bos,10685,F.M. van der Laan & T. Nzabi,"BR,LBV,MO,WAG",18,7,1985,18 July 1985,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.083333,N,13.166667,E,,3,,,,1.083333,13.166667,NE113,900,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
8842,,V,7,8962,WAG.1872478,F.J. Breteler; J.J.F.E. de Wilde,13,,"L,LBV,MO,WAG,WAG",15,8,1978,15 August 1978,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.683333,N,10.366667,E,,5,,,,0.683333,10.366667,NE010,600,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
9467,,V,1,9601,WAG.1872466,F.J. Breteler; J.J.F.E. de Wilde,652,,WAG,15,9,1978,15 September 1978,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.116667,N,13.166667,E,,5,,,,1.116667,13.166667,NE113,975,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
17268,,V,4,17473,WAG.1872473,A.M. Louis,2318,F.J. Sterck & A.A. Elias,"L,MO,PR,WAG",0,10,1987,October 1987,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.116667,N,13.168333,E,,5,,,,1.116667,13.168333,NE113,800,900,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
20356,,V,3,20603,WAG.1872481,J.J. Wieringa,259,,"LBV,MO,WAG",20,12,1989,20 December 1989,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.616667,N,10.4,E,,5,,,,0.616667,10.4,NE010,600,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
28199,,V,1,28658,WAG.1872482,J.M. Reitsma,2835,B. Reitsma,WAG,11,1,1987,11 January 1987,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-2.566667,S,10.55,E,,5,,,,-2.566667,10.55,SE210,0,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
59740,,V,1,,WAG.1872461,J.J.F.E. de Wilde,7846,,WAG,24,12,1974,24 December 1974,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,Nkoemvone,0,,0,0,0,0,No,No,2.816667,N,11.133333,E,,,,,,2.816667,11.133333,NE211,0,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,46,0
74406,,V,3,,WAG.1872472,I. Parmentier,581,N.S. Nguema Miyono,"BRLU,LBV,WAG",6,1,2000,6 January 2000,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.946667,N,11.285,E,,6,,,,0.946667,11.285,NE011,660,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
77579,,V,3,,WAG.1872474,A.M. Louis,2727,,"LBV,MO,WAG",12,2,1988,12 February 1988,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,Mouila,0,,0,0,0,0,No,No,-1.933333,S,11.216667,E,,,,,,-1.933333,11.216667,SE111,500,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
88863,,V,8,,WAG.1872463,A.J.M. Leeuwenberg,9317,,"BR,K,L,MO,P,WAG,WAG,YA",28,1,1972,28 January 1972,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Cameroon,Littoral,,,0,,0,0,0,0,No,No,4.833333,N,9.9,E,,,,,,4.833333,9.9,NE49,520,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,46,0
132541,,V,7,,WAG0114490,J.J.F.E. de Wilde (WALKB-series),40,J.C. Arends; A.M. Louis; J.J. Karper & F. Bouman,"BR,C,LBV,MO,P,WAG,WAG",18,1,1983,18 January 1983,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,Crystal Mountains,0,,0,0,0,0,No,No,0.616667,N,10.366667,E,,4,,,,0.616667,10.366667,NE010,670,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
149413,,V,1,,,I. Parmentier,858,N.S. Nguema Miyono,BRLU,24,1,2000,24 January 2000,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,30,3,2016,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,1.001667,N,11.21,E,DM,6,,,,1.001667,11.21,NE111,600,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
149824,,V,4,,WAG.1872469,C.M. Wilks,1166,,"LBV,MO,WAG",19,12,1985,19 December 1985,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.716667,S,11.216667,E,,5,,,,-1.716667,11.216667,SE111,0,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
155569,,V,1,,WAG.1872471,A. Tabak,76,J.M. Feijen,WAG,16,2,2001,16 February 2001,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,Tchimbl,0,,0,0,0,0,No,No,0.633333,N,10.4,E,,5,,,,0.633333,10.4,NE010,0,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
172068,,V,2,,,L. Ngok Banak,347,C.M. Wilks; A. Moungazi & A.J. Mabicka,"BRLU,LBV",4,12,2001,4 December 2001,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,24,3,2016,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.939,N,10.5155,E,,6,,,,0.939,10.5155,NE010,760,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
174701,,V,1,,,A.H. Gentry,33560,,MO,25,7,1981,25 July 1981,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.116667,N,13.183333,E,,3,,,,1.116667,13.183333,NE113,850,870,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
178086,,V,3,,,N. Hall,2288,,"BR,K,P",6,6,1963,6 June 1963,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Moyen-Ogoou,,,0,,0,0,0,0,No,No,-0.083333,S,10.583333,E,,3,,,,-0.083333,10.583333,SE010,0,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
179537,,V,1,,,N. Hall,3783,,P,9,6,1966,9 June 1966,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.1,N,13.2,E,,4,,,,1.1,13.2,NE113,700,1000,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
181908,,V,1,,,N. Hall,4409,J.F. Villiers,P,14,1,1968,14 January 1968,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.45,N,10.283333,E,,5,,,,0.45,10.283333,NE010,0,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
182235,,V,1,,,N. Hall,4746,J.F. Villiers,P,30,1,1968,30 January 1968,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.616667,N,10.283333,E,,4,,,,0.616667,10.283333,NE010,950,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
