BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
9783,,V,1,9920,WAG.1872393,F.J. Breteler,6381,,WAG,9,9,1970,9 September 1970,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Haut-Ogoou,,,0,,0,0,0,0,No,No,-1.55,S,13.25,E,,5,,,,-1.55,13.25,SE113,0,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,76,0
15074,,V,2,15261,WAG.1867762,C.C.H. Jongkind,1938,D.K. Abbiw & C.M. Markwei,"MO,WAG",2,12,1994,2 December 1994,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ghana,Ashanti Region,,,0,,0,0,0,0,No,No,6.476667,N,-1.56,W,,6,,,,6.476667,-1.56,NW61,350,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,79,0
16516,,V,2,16716,WAG.1867776,A.J.M. Leeuwenberg,11480,,WAG,8,11,1977,8 November 1977,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,0.516667,N,12.8,E,,5,,,,0.516667,12.8,NE012,500,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,76,0
16563,,V,2,16763,WAG.1867774,A.J.M. Leeuwenberg,11527,,WAG,13,11,1977,13 November 1977,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,0.583333,N,12.916667,E,,5,,,,0.583333,12.916667,NE012,500,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,76,0
16777,,V,2,17120,WAG.1867771,A.J.M. Leeuwenberg,12567,,WAG,23,11,1982,23 November 1982,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.6,N,9.333333,E,,5,,,,0.6,9.333333,NE09,5,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,76,0
19977,,V,2,20224,WAG.1867759,C.C.H. Jongkind,2357,,WAG,6,10,1995,6 October 1995,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2016,,,Africa,West Tropical Africa,Ghana,Brong-Ahafo Region,,,0,,0,0,0,0,No,No,7.8,N,-2.1,W,,5,,,,7.8,-2.1,NW72,250,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,79,0
20331,,V,3,20578,WAG.1872395,J.J. Wieringa,227,,"LBV,WAG,WAG",15,12,1989,15 December 1989,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.616667,N,10.4,E,,5,,,,0.616667,10.4,NE010,580,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,76,0
21525,,V,2,21782,WAG.1867785,W.J. van der Burg,1085,,"MO,WAG",18,9,1975,18 September 1975,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Man,,,0,,0,0,0,0,No,No,7.433333,N,-7.816667,W,,4,,,,7.433333,-7.816667,NW77,1000,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,235,0
23474,,V,4,23750,WAG.1872399,M.A. van Bergen,173,M.H. van den Houten,"MO,PRE,WAG",17,12,1995,17 December 1995,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,0,7,2002,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Gamba,0,,0,0,0,0,No,No,-2.733333,S,10,E,,5,,,,-2.733333,10,SE210,5,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,76,0
26322,,V,1,26754,WAG.1872394,J.M. Reitsma,1610,B. Reitsma,WAG,25,9,1985,25 September 1985,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lucanusianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.633333,N,11.3,E,,5,,,,0.633333,11.3,NE011,0,0,Costus,lucanusianus,J.Braun & K.Schum.,0,36,9766,1555,76,0
