BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
160835,,V,1,,,G.M.P.C. Le Testu,1820,,P,0,10,1914,October 1914,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,J. Koechlin,0,0,1964,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-3.166667,S,10.666667,E,,2,,,,-3.166667,10.666667,SE310,0,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
166801,,V,1,,,G.M.P.C. Le Testu,5103,,P,26,11,1924,26 November 1924,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,,0,0,0,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.55,S,10.616667,E,,4,,,,-1.55,10.616667,SE110,0,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
167154,,V,1,,,G.M.P.C. Le Testu,5567,,P,0,10,1925,October 1925,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,,0,0,0,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.75,S,11.25,E,,3,,,,-1.75,11.25,SE111,0,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
190364,,V,3,,WAG.1867750,J.L.C.H. van Valkenburg,2547,J.J. Wieringa & B. Nziengui,"LBV,WAG",1,11,2003,1 November 2003,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,Doudou Mountains,0,,0,0,0,1,No,No,-2.655833,S,10.450833,E,,7,,,,-2.655833,10.450833,SE210,200,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
203394,,V,2,,WAG.1867751,N.S. Nguema Miyono,1298,,"LBV,WAG",14,11,2000,14 November 2000,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,Crystal Mountains,0,,0,0,0,0,No,No,0.616667,N,10.416667,E,,5,,,,0.616667,10.416667,NE010,0,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
204242,,V,9,,WAG.1867745,J.J. Wieringa,5441,C.M. Wilks; T. Nzabi & A.C. Ley,"BR,LBV,MO,WAG",15,11,2004,15 November 2004,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,P.J.M. Maas; H. Maas-van de Kamer,6,4,2012,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,Crystal Mountains,0,,0,0,0,2.6,No,No,0.628333,N,10.36,E,,6,,,,0.628333,10.36,NE010,530,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
1259824,,V,6,,WAG.1867740,P.J.M. Maas,9980,F.J. Breteler; H. Maas-van de Kamer; R. Niangadouma & A.M. Louis,"L,LBV,WAG,WAG,WAG",25,10,2011,25 October 2011,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2015,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,1,No,No,0.629139,N,10.361472,E,DMS,6,GPS,,,0.629139,10.361472,NE010,524,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
1260071,,V,5,,WAG.1867747,P.J.M. Maas,10227,F.J. Breteler; H. Maas-van de Kamer; R. Niangadouma & C.D. Specht,"LBV,UC,WAG,WAG",11,11,2011,11 November 2011,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,0,0,2011,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,1,No,No,-1.769111,S,10.233639,E,DMS,6,GPS,,,-1.769111,10.233639,SE110,73,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
1260109,,V,1,,WAG.1867746,P.J.M. Maas,10265,F.J. Breteler; H. Maas-van de Kamer; R. Niangadouma & C.D. Specht,WAG,12,11,2011,12 November 2011,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,0,0,2011,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,1,No,No,-1.779833,S,10.236861,E,DMS,6,GPS,,,-1.779833,10.236861,SE110,97,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
4043429,,V,1,,,P.J.M. Maas,10458,et al.,L,29,11,2011,29 November 2011,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus maboumiensis Pellegr.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,Crystal Mountains,0,,0,0,0,0,No,No,0.628333,N,10.36,E,DM,6,GPS,,,0.628333,10.36,NE010,0,0,Costus,maboumiensis,Pellegr.,0,36,9766,36835,76,0
