BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
981940,,V,1,,WAG.1867752,E. Phillips,4485,,WAG,29,12,1978,29 December 1978,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,South Tropical Africa,Malawi,Northern Region,,,0,,0,0,0,0,No,No,-11.816667,S,34.166667,E,DM,2,,,,-11.816667,34.166667,SE1134,0,0,Costus,macranthus,K.Schum.,0,36,9766,46471,146,0
1301807,,V,5,,WAG.1867753,A.P.M. de Kruif,1288,,"E,MAL,MO,PRE,WAG",8,12,1983,8 December 1983,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,South Tropical Africa,Malawi,Southern Region,Machinga District,,0,,0,0,0,0,No,No,-13.05,S,33.15,E,DM,5,sheet,,,-13.05,33.15,SE1333,1100,0,Costus,macranthus,K.Schum.,0,36,9766,46471,146,0
3768607,,V,0,,WAG.1867757,J.C. Lovett,4994,C.J. Kayombo,WAG,10,12,1990,10 December 1990,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,,0,0,0,,,Africa,East Tropical Africa,Tanzania,,,,0,,0,0,0,0,No,No,-8.85,S,33.283333,E,DM,,sheet,,,-8.85,33.283333,SE833,0,0,Costus,macranthus,K.Schum.,0,36,9766,46471,214,0
4042613,,V,0,,,A.G. Bagshawe,1590,,BM,3,5,1907,3 May 1907,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,East Tropical Africa,Uganda,,,,0,,0,0,0,0,No,No,1.5,N,31.866667,E,DM,,,,,1.5,31.866667,NE131,914,0,Costus,macranthus,K.Schum.,0,36,9766,46471,215,0
4042615,,V,0,,,J.L. Balaka,849,K. Kaunda,NY,21,11,1984,21 November 1984,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,South Tropical Africa,Malawi,,,,0,,0,0,0,0,No,No,-15.366667,S,35.316667,E,DM,,,,,-15.366667,35.316667,SE1535,0,0,Costus,macranthus,K.Schum.,0,36,9766,46471,146,0
4042620,,V,0,,,H. Balslev,394,,"AAU,B,MO",4,12,1974,4 December 1974,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,East Tropical Africa,Tanzania,,,,0,,0,0,0,0,No,No,-7.75,S,37.75,E,DM,,,,,-7.75,37.75,SE737,0,0,Costus,macranthus,K.Schum.,0,36,9766,46471,214,0
4042651,,V,0,,,H.M. Biegel,3202,T. Mller,K,19,10,1969,19 October 1969,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,South Tropical Africa,Zimbabwe,,,,0,,0,0,0,0,No,No,-18.466667,S,32.783333,E,DM,,,,,-18.466667,32.783333,SE1832,1100,0,Costus,macranthus,K.Schum.,0,36,9766,46471,233,0
4042662,,V,2,,,A. Bjornstad,717,,"K,UPS",9,12,1970,9 December 1970,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,East Tropical Africa,Tanzania,,,,0,,0,0,0,0,No,No,-7.766667,S,35.7,E,DM,,,,,-7.766667,35.7,SE735,1200,0,Costus,macranthus,K.Schum.,0,36,9766,46471,214,0
4042665,,V,0,,,S.B. Boaler,381,,K,23,12,1961,23 December 1961,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,East Tropical Africa,Tanzania,,,,0,,0,0,0,0,No,No,-8.516667,S,33.416667,E,DM,,,,,-8.516667,33.416667,SE833,1235,0,Costus,macranthus,K.Schum.,0,36,9766,46471,214,0
4042672,,V,0,,,S.S. Bonda,10,,K,7,12,1983,7 December 1983,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus macranthus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,South Tropical Africa,Malawi,,,,0,,0,0,0,0,No,No,-15.373333,S,35.343333,E,DM,,,,,-15.373333,35.343333,SE1535,950,0,Costus,macranthus,K.Schum.,0,36,9766,46471,146,0
