BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
23834,,V,4,24175,WAG.1587112,C.C.H. Jongkind,3138,,"G,MO,WAG",3,10,1996,3 October 1996,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ghana,Brong-Ahafo Region,,,0,,0,0,0,0,No,No,7.8,N,-2.1,W,,5,,,,7.8,-2.1,NW72,350,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,79,0
27243,,V,3,27686,WAG.1587106,H.J. Beentje,341,,WAG,28,5,1975,28 May 1975,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Man,,,0,,0,0,0,0,No,No,7.45,N,-7.633333,W,,4,,,,7.45,-7.633333,NW77,1150,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,235,0
30021,,V,3,30557,WAG.1587108,H.J. Beentje,1283,,"MO,WAG",1,11,1975,1 November 1975,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Divo,,,0,,0,0,0,0,No,No,5.5,N,-5.25,W,,4,,,,5.5,-5.25,NW55,20,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,235,0
119491,,V,1,,,L. Ak Assi,17871,,G,28,12,1987,28 December 1987,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Guiglo,,,0,,0,0,0,0,No,No,5.666667,N,-7.366667,W,,4,,,,5.666667,-7.366667,NW57,0,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,235,0
1185973,,V,2,,WAG.1587110,T.R. van Andel,5735,K. Amuako; K. Obeng & B.J. Myren,"GC,WAG",8,7,2010,8 July 2010,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ghana,Eastern Region,Kwahu West District,Akoase,0,,0,0,0,1,No,No,6.457,N,-0.8905,W,DM,6,GPS,,,6.457,-0.8905,NW60,196,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,79,0
1195131,,V,3,,WAG0365395,J. Nemba,331,D.W. Thomas,"K,MO,WAG",22,11,1986,22 November 1986,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,627066,Africa,West-Central Tropical Afr,Cameroon,South-West Province,,,0,,0,0,0,2,No,No,5,N,8.95,E,DM,5,sheet,,,5,8.95,NE58,150,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,46,0
1280754,,V,2,,,C.C.H. Jongkind,11301,D. Bilivogui,"MO,WAG",26,6,2012,26 June 2012,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Guinea,Nzrkor,,,0,,0,0,0,2.5,No,No,7.6975,N,-8.370667,W,DM,7,GPS,,,7.6975,-8.370667,NW78,667,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,81,0
1284541,,V,4,,,P.B. Phillipson,6415,C.C.H. Jongkind & D. Bilivogui,"L,MO,P,WAG",10,7,2012,10 July 2012,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,,0,0,0,,,Africa,West Tropical Africa,Guinea,Nzrkor,,,0,,0,0,0,0,No,No,7.713333,N,-8.361667,W,DM,7,sheet,,,7.713333,-8.361667,NW78,591,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,81,0
1284544,,V,1,,,C.C.H. Jongkind,11163,D. Bilivogui,WAG,21,9,2011,21 September 2011,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Guinea,Nzrkor,,,0,,0,0,0,0,No,No,7.704667,N,-8.364167,W,DM,7,GPS,,,7.704667,-8.364167,NW78,590,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,81,0
1294802,,V,5,,WAG0428322,C.C.H. Jongkind,11620,D. Bilivogui & M. Diabate,"L,MO,WAG,WAG",28,10,2012,28 October 2012,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,,0,0,0,,,Africa,West Tropical Africa,Guinea,Nzrkor,,,0,,0,0,0,3,No,No,7.712833,N,-8.361,W,,7,GPS,,,7.712833,-8.361,NW78,540,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,81,0
4000483,,V,3,,,M.R. Cheek,17660,V.-O. Sn Belinga,"K,WAG,YA",0,0,2014,2014,,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,2,2015,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,Djoum,0,,0,0,0,2,No,No,2.585694,N,12.798639,E,DD,6,,,,2.585694,12.798639,NE212,600,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,46,0
4042570,,V,0,,,L. Ak Assi,10030,,G,18,4,1968,18 April 1968,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus nimba H.Maas & Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Divo,,,0,,0,0,0,0,No,No,5.833333,N,-5.5,W,DM,,,,,5.833333,-5.5,NW55,0,0,Costus,nimba,H.Maas & Maas,0,36,9766,704200,235,0
