BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
9859,,V,1,9997,WAG.1867697,F.J. Breteler,6458,,WAG,15,9,1970,15 September 1970,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2010,,,Africa,West-Central Tropical Afr,Gabon,Haut-Ogoou,,,0,,0,0,0,0,No,No,-1.616667,S,13.133333,E,,5,,,,-1.616667,13.133333,SE113,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
17746,,V,4,17956,WAG.1867706,A.M. Louis,88,,"E,MO,WAG",12,11,1982,12 November 1982,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2010,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.583333,N,9.333333,E,,5,,,,0.583333,9.333333,NE09,5,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
27537,,V,2,27984,WAG.1867698,J.M. Reitsma,2145,B. Reitsma,"U,WAG",23,4,1986,23 April 1986,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2010,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,Cap Estrias,0,,0,0,0,1.3,No,No,0.6,N,9.433333,E,DM,5,,,,0.6,9.433333,NE09,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
28205,,V,2,28664,WAG.1867707,J.M. Reitsma,2841,B. Reitsma,"LBV,WAG",21,1,1987,21 January 1987,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.583333,N,9.366667,E,,5,,,,0.583333,9.366667,NE09,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
77095,,V,6,,WAG.1867693,A.M. Louis,1792,,"BR,E,LBV,MO,WAG",5,4,1985,5 April 1985,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2010,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-3.25,S,10.583333,E,,,,,,-3.25,10.583333,SE310,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
77768,,V,2,,WAG.1867708,A.M. Louis,2935,B. Akendengu,"LBV,WAG",10,3,1989,10 March 1989,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,Cap Estrias,0,,0,0,0,0,No,No,0.583333,N,9.333333,E,,,,,,0.583333,9.333333,NE09,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
120491,,V,3,,WAG.1867712,J.J. Wieringa,3688,C.C.H. Jongkind & J.G. Schoonhoven,"LBV,MO,WAG",29,12,2000,29 December 2000,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,H. Maas-van de Kamer,6,4,2012,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0.8,No,No,1.207,N,14.126833,E,,7,,,,1.207,14.126833,NE114,520,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
132423,,V,3,,WAG.1867716,J.J. Wieringa,3869,C.C.H. Jongkind & J.G. Schoonhoven,"LBV,WAG,WAG",3,1,2001,3 January 2001,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,2.5,No,No,0.761833,N,14.0855,E,,7,,,,0.761833,14.0855,NE014,540,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
140231,,V,3,,WAG.1867704,E.L.A.N. Simons,510,R. Westerduijn,"LBV,WAG",20,12,1999,20 December 1999,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2010,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.333333,N,9.35,E,,5,,,,0.333333,9.35,NE09,5,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
140233,,V,2,,WAG.1867691,E.L.A.N. Simons,512,R. Westerduijn,"LBV,WAG",21,12,1999,21 December 1999,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2010,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.333333,N,9.35,E,,5,,,,0.333333,9.35,NE09,5,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
140282,,V,2,,WAG.1867715,E.L.A.N. Simons,561,R. Westerduijn,"LBV,WAG",3,1,2000,3 January 2000,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.325,N,9.316667,E,,5,,,,0.325,9.316667,NE09,5,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
140974,,V,6,,WAG.1867702,J.J.F.E. de Wilde (WALKB-series),776,J.C. Arends; A.M. Louis; J.J. Karper & F. Bouman,"BR,LBV,MO,P,WAG,WAG",25,2,1983,25 February 1983,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.566667,N,9.333333,E,,4,,,,0.566667,9.333333,NE09,30,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
147455,,V,2,,WAG.1867699,A.M. Louis,4028,,"LBV,WAG",23,6,1993,23 June 1993,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2011,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,,0,,0,0,0,0,No,No,-0.833333,S,8.783333,E,,,,,,-0.833333,8.783333,SE08,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
158639,,V,3,,WAG.1867713,M.S.M. Sosef,1713,,"LBV,WAG",25,5,2001,25 May 2001,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Wonga Wongu Reserve,0,,0,0,0,0,No,No,-0.558333,S,9.2,E,,,,,,-0.558333,9.2,SE09,0,100,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
160010,,V,3,,,G.M.P.C. Le Testu,967,,"BM,BR,P",23,1,1907,23 January 1907,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,Mayumba,0,,0,0,0,0,No,No,-3.416667,S,10.666667,E,,4,,,,-3.416667,10.666667,SE310,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
161072,,V,2,,,G.M.P.C. Le Testu,2070,,"BM,P",4,6,1915,4 June 1915,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-2.75,S,11,E,,2,,,,-2.75,11,SE211,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
161353,,V,3,,,G.M.P.C. Le Testu,2374,,"BM,BR,P",0,9,1915,September 1915,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-3,S,11,E,,1,,,,-3,11,SE311,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
165931,,V,6,,WAG.1867660,T.R. van Andel,3500,P.J.M. Maas; H. Maas-van de Kamer & M.J. Jansen-Jacobs,"KRIBI,U,WAG,WAG,YA",5,6,2001,5 June 2001,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas;,21,12,2010,,,Africa,West-Central Tropical Afr,Cameroon,Littoral,,Douala,0,,0,0,0,0,Yes,No,4.048,N,9.692333,E,DM,6,map,,,4.048,9.692333,NE49,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,46,0
166784,,V,3,,,G.M.P.C. Le Testu,5085,,"BM,BR,P",20,11,1924,20 November 1924,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,5,2016,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.616667,S,10.5,E,DM,3,,,,-1.616667,10.5,SE110,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
169666,,V,4,,,G.M.P.C. Le Testu,8882,,"BM,BR,LISC,P",8,9,1932,8 September 1932,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,0.583333,N,12.833333,E,DM,4,,,,0.583333,12.833333,NE012,0,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
174673,,V,2,,WAG.1867709,A.F. Bradley,993,G.M. Walters; G. Nang-Essouma & A. Mbaniboua,"MO,WAG",22,11,2001,22 November 2001,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Haut-Ogoou,,,0,,0,0,0,0,No,No,-2.119,S,14.061,E,,,,,,-2.119,14.061,SE214,380,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
174678,,V,4,,WAG.1867696,G.M. Walters,1143,R. Niangadouma,"LBV,MO,MO,WAG",27,2,2003,27 February 2003,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus phyllocephalus K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2010,,,Africa,West-Central Tropical Afr,Gabon,Haut-Ogoou,,,0,,0,0,0,0,No,No,-2.122222,S,14.068333,E,DMS,6,GPS,,,-2.122222,14.068333,SE214,460,0,Costus,phyllocephalus,K.Schum.,0,36,9766,130100,76,0
