BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
22771,,V,2,23038,WAG.1867637,C.C.H. Jongkind,2831,,"GC,WAG",24,5,1996,24 May 1996,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2016,,,Africa,West Tropical Africa,Ghana,Volta Region,,,0,,0,0,0,0,No,No,8.433333,N,0.583333,E,,5,,,,8.433333,0.583333,NE80,500,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,79,0
58157,,V,2,,,W.J. van der Burg,1425,A. Akogninou; J.-P. Essou & P. Agbani,"BENIN,WAG",15,5,1999,15 May 1999,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,,0,0,0,,,Africa,West Tropical Africa,Benin,Atakora,Natitingou,,0,,0,0,0,0,No,No,10.2,N,1.433333,E,DM,5,,,,10.2,1.433333,NE101,600,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,21,0
58174,,V,1,,,W.J. van der Burg,1442,A. Akogninou; J.-P. Essou & P. Agbani,BENIN,16,5,1999,16 May 1999,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,,0,0,0,,,Africa,West Tropical Africa,Benin,Atakora,Boukoumb,Koussoukoingou,0,,0,0,0,0,No,No,10.15,N,1.183333,E,DM,5,,,,10.15,1.183333,NE101,350,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,21,0
58175,,V,3,,WAG.1867620,W.J. van der Burg,1443,A. Akogninou; J.-P. Essou & P. Agbani,"BENIN,E,WAG",16,5,1999,16 May 1999,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,W.J. van der Burg,0,2,2001,,,Africa,West Tropical Africa,Benin,Atakora,Boukoumb,Koussoukoingou,0,,0,0,0,0,No,No,10.15,N,1.183333,E,DM,5,,,,10.15,1.183333,NE101,350,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,21,0
74341,,V,2,,WAG.1898475,D. Atwell,3,,WAG,10,5,1965,10 May 1965,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,North-West Province,,,0,,0,0,0,0,No,No,6,N,10.7,E,,4,,,,6,10.7,NE610,900,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,46,0
118910,,V,1,,WAG0014791,P.A. Schfer,8061,,WAG,16,6,1984,16 June 1984,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Togo,,,,0,,0,0,0,0,No,No,9.133333,N,0.95,E,,,,,,9.133333,0.95,NE90,660,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,202,0
118911,,V,1,,WAG.1867638,J.K. Morton,3965,,WAG,20,5,1960,20 May 1960,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ghana,,,,0,,0,0,0,0,No,No,7.783333,N,-0.016667,W,DM,4,,,,7.783333,-0.016667,NW70,0,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,79,0
118912,,V,1,,WAG.1867639,F.J. Breteler,7256,,WAG,28,10,1971,28 October 1971,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Togo,Centre,,,0,,0,0,0,0,No,No,9.033333,N,1.2,E,,4,,,,9.033333,1.2,NE91,0,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,202,0
118925,,V,1,,WAG.1867641,A.J.F.M. Dekker,16,,WAG,14,6,1978,14 June 1978,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Odienn,,,0,,0,0,0,0,No,No,9.45,N,-7.25,W,DM,4,,,,9.45,-7.25,NW97,0,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,235,0
133728,,V,3,,WAG.1867626,S. Lisowski,686,,"BENIN,POZG,WAG",8,10,1999,8 October 1999,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus spectabilis (Fenzl) K.Schum.,,0,0,0,,,Africa,West Tropical Africa,Benin,Borgou,Prr,,0,,0,0,0,0,No,No,9.516667,N,2.833333,E,DM,4,GOOGL,,,9.516667,2.833333,NE92,0,0,Costus,spectabilis,(Fenzl) K.Schum.,0,36,9766,16437,21,0
