BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
21949,,V,4,22206,WAG.1867605,J.J. Bos,3361,,"K,WAG",22,11,1968,22 November 1968,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,P.J.M. Maas,21,12,2010,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.9,N,9.95,E,,3,,,,2.9,9.95,NE29,0,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,46,0
54080,,V,5,,WAG.1867599,J.J. Bos,6280,,"BR,P,WAG,WAG",9,2,1970,9 February 1970,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,P.J.M. Maas;,22,12,2010,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,3.016667,N,10.05,E,,,,,,3.016667,10.05,NE310,0,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,46,0
54108,,V,2,,WAG.1867597,J.J. Bos,6308,,WAG,10,2,1970,10 February 1970,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,P.J.M. Maas;,21,12,2010,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.783333,N,10.016667,E,,,,,,2.783333,10.016667,NE210,0,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,46,0
54201,,V,5,,WAG.1867593,J.J. Bos,6401,,"BR,P,WAG,WAG",25,2,1970,25 February 1970,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,P.J.M. Maas;,22,12,2011,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.983333,N,10.066667,E,,,,,,2.983333,10.066667,NE210,0,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,46,0
54222,,V,2,,WAG.1867594,J.J. Bos,6422,,WAG,26,2,1970,26 February 1970,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,P.J.M. Maas;,21,12,2010,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.783333,N,10.016667,E,,,,,,2.783333,10.016667,NE210,200,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,46,0
60803,,V,10,,WAG0114484,J.J.F.E. de Wilde,8702,,"BR,EA,K,MA,MO,P,PRE,WAG,WAG,YA",3,12,1975,3 December 1975,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.266667,N,9.966667,E,,,,,,2.266667,9.966667,NE29,0,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,46,0
66488,,V,5,,WAG.1867609,J.J.F.E. de Wilde,8916,J.C. Arends; J. de Bruijn & L.J.G. van der Maesen,"BR,LBV,MO,WAG,WAG",21,11,1986,21 November 1986,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,Crystal Mountains,0,,0,0,0,0,No,No,0.466667,N,10.283333,E,,5,,,,0.466667,10.283333,NE010,200,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,76,0
160450,,V,1,,,G.M.P.C. Le Testu,1414,,P,0,9,1908,September 1908,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,J. Koechlin,0,0,1964,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-2.916667,S,10.5,E,,4,,,,-2.916667,10.5,SE210,0,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,76,0
160833,,V,1,,,G.M.P.C. Le Testu,1818,,P,0,10,1914,October 1914,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,,0,0,0,,,Africa,West-Central Tropical Afr,Gabon,Nyanga,,,0,,0,0,0,0,No,No,-3.166667,S,10.666667,E,,2,,,,-3.166667,10.666667,SE310,0,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,76,0
166069,,V,7,,WAG.1867596,T.R. van Andel,3638,P.J.M. Maas; H. Maas-van de Kamer; B. Mva; M.J. Jansen-Jacobs & M. Atou'ou,"KRIBI,SCA,U,WAG,WAG,YA",13,6,2001,13 June 2001,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus tappenbeckianus J.Braun & K.Schum.,P.J.M. Maas;,21,12,2011,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,"Campo-Ma'an National Park, Ebianemeyong",0,,0,0,0,0,No,No,2.4065,N,10.3565,E,,6,,,,2.4065,10.3565,NE210,350,0,Costus,tappenbeckianus,J.Braun & K.Schum.,0,36,9766,6334,46,0
