BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
2014,,V,2,2040,WAG.1202189,J.J. Bos,10546,F.M. van der Laan & T. Nzabi,WAG,10,7,1985,10 July 1985,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.833333,N,11.166667,E,,3,,,,0.833333,11.166667,NE011,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
12181,,V,1,12339,WAG.1202184,F.J. Breteler,8278,R.H.M.J. Lemmens,WAG,1,10,1986,1 October 1986,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.25,N,10.083333,E,,5,,,,0.25,10.083333,NE010,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
20075,,V,2,20322,WAG.1202203,C.C.H. Jongkind,1629,D.K. Abbiw & C.M. Markwei,"MO,WAG",29,6,1994,29 June 1994,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West Tropical Africa,Ghana,Eastern Region,,,0,,0,0,0,0,No,No,6.248333,N,-0.561667,W,,6,,,,6.248333,-0.561667,NW60,400,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,79,0
20874,,V,1,21124,WAG.1202157,A.J. de Winter,19,,WAG,29,8,1995,29 August 1995,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,3.103333,N,10.728333,E,,6,,,,3.103333,10.728333,NE310,400,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,46,0
22424,,V,3,22690,WAG.1202162,J.J. Bos,3823,,WAG,31,1,1969,31 January 1969,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.85,N,10,E,,3,,,,2.85,10,NE210,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,46,0
26497,,V,1,26934,WAG.1202191,J.M. Reitsma,1790,B. Reitsma & A.M. Louis,WAG,3,2,1986,3 February 1986,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.9,N,11.033333,E,,5,,,,0.9,11.033333,NE011,470,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
28361,,V,8,28825,WAG.1202199,H.J. Beentje,393,,"AMD,BR,K,MO,PR,UCJ,WAG",16,6,1975,16 June 1975,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,"Maas, EJM de",0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Aboisso,,,0,,0,0,0,0,No,No,5.683333,N,-3.1,W,,4,,,,5.683333,-3.1,NW53,50,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,235,0
28436,,V,3,28901,WAG.1202198,H.J. Beentje,469,,"AMD,UCJ,WAG",18,6,1975,18 June 1975,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,"Maas, EJM de",0,0,2013,,,Africa,West Tropical Africa,Ivory Coast,Aboisso,,,0,,0,0,0,0,No,No,5.416667,N,-3.016667,W,,4,,,,5.416667,-3.016667,NW53,115,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,235,0
52515,,V,2,,WAG.1202179,J.J. Bos,4767,,"P,WAG",9,6,1969,9 June 1969,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,3,N,10.033333,E,,,,,,3,10.033333,NE310,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,46,0
52580,,V,4,,WAG.1202160,J.J. Bos,4832,,"WAG,WAG,YA",13,6,1969,13 June 1969,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,3,N,10.033333,E,,,,,,3,10.033333,NE310,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,46,0
59470,,V,11,,WAG.1202176,J.J.F.E. de Wilde,7638,,"BR,EA,K,LG,MA,MO,P,PRE,SRGH,WAG,YA",11,10,1974,11 October 1974,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,,0,,0,0,0,0,No,No,2.8,N,11.15,E,,,,,,2.8,11.15,NE211,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,46,0
72699,,V,9,,WAG.1202172,A.J.M. Leeuwenberg,6682,,"BR,K,MO,P,PRE,WAG,WAG,YA",13,9,1965,13 September 1965,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,East Province,,,0,,0,0,0,0,No,No,3.208333,N,13.625,E,,4,,,,3.208333,13.625,NE313,650,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,46,0
