BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
504,,V,2,505,WAG.1872530,F.I. van Nek,417,,"LBV,WAG",29,11,1990,29 November 1990,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.941667,S,9.881667,E,,6,,,,-1.941667,9.881667,SE19,0,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
1386,,V,1,1396,WAG.1872212,J.C. Arends,304,J.J.F.E. de Wilde & A.M. Louis,WAG,19,11,1984,19 November 1984,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.25,S,10.9,E,,5,,,,-1.25,10.9,SE110,370,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1429,,V,1,1439,WAG.1872501,J.C. Arends,347,J.J.F.E. de Wilde & A.M. Louis,WAG,21,11,1984,21 November 1984,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,7,11,2002,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.3,S,10.95,E,,5,,,,-1.3,10.95,SE110,320,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
1647,,V,2,1666,WAG.1872526,J.C. Arends,574,J.J.F.E. de Wilde & A.M. Louis,WAG,1,12,1984,1 December 1984,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer; C.D. Specht,7,11,2002,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.666667,S,11.333333,E,,3,,,,-1.666667,11.333333,SE111,330,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
1705,,V,1,1725,WAG.1872214,J.C. Arends,633,J.J.F.E. de Wilde & A.M. Louis,WAG,5,12,1984,5 December 1984,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus gabonensis Koechlin,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Doudou Mountains,0,,0,0,0,0,No,No,-2.25,S,10.333333,E,,3,,,,-2.25,10.333333,SE210,350,0,Costus,gabonensis,Koechlin,0,36,9766,6323,76,0
1723,,V,5,1743,WAG.1587077,J.C. Arends,651,J.J.F.E. de Wilde & A.M. Louis,"BR,MO,P,WAG",5,12,1984,5 December 1984,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus fenestralis Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Doudou Mountains,0,,0,0,0,0,No,No,-2.25,S,10.333333,E,,3,,,,-2.25,10.333333,SE210,350,0,Costus,fenestralis,Maas & H.Maas,0,36,9766,304597,76,0
1726,,V,2,1746,WAG.1872545,J.C. Arends,654,J.J.F.E. de Wilde & A.M. Louis,WAG,6,12,1984,6 December 1984,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lateriflorus Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Doudou Mountains,0,,0,0,0,0,No,No,-2.333333,S,10.25,E,,0,,,,-2.333333,10.25,SE210,260,0,Costus,lateriflorus,Baker,0,36,9766,6447,76,0
2014,,V,2,2040,WAG.1202189,J.J. Bos,10546,F.M. van der Laan & T. Nzabi,WAG,10,7,1985,10 July 1985,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.833333,N,11.166667,E,,3,,,,0.833333,11.166667,NE011,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
2152,,V,5,2180,WAG.1872476,J.J. Bos,10685,F.M. van der Laan & T. Nzabi,"BR,LBV,MO,WAG",18,7,1985,18 July 1985,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus lilaceus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,1.083333,N,13.166667,E,,3,,,,1.083333,13.166667,NE113,900,0,Costus,lilaceus,Maas & H.Maas,0,36,9766,308942,76,0
2474,,V,1,2506,WAG.1872532,J. Schoenmaker,93,,WAG,5,11,1991,5 November 1991,November,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus ligularis Baker,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Maritime,,Rabi-Kounga,0,,0,0,0,0,No,No,-1.966667,S,9.866667,E,,4,,,,-1.966667,9.866667,SE19,0,0,Costus,ligularis,Baker,0,36,9766,7150,76,0
