"","Thermophilic","Freshwater_habitat","Nonfreshwater_habitat","Akinetes","Heterocysts","Nitrogen_fixation","Morphology","Habit","Freeliving","Mats","Epi_Endolithic","Epiphytic","Periphytic","Motility","Hormogonia","Gas_vesicles","False_Branching","True_Branching","Fission_in_multiple_planes","Uniseriate_trichome","Multiseriate_trichomes","Baeocytes","Extracellular_sheath","Mucilage","celldiam_mean","Pelagic"
"Acaryochloris.marina.MBIC11017","0",0,"1",0,0,"0","0","1","0","0","0","0","0","0","0","0",0,0,0,0,"0",0,"1","1",0,0
"Acaryochloris.sp.CCMEE5410","0",0,"1",0,0,"0","0","1","0","0","1","0","0","0","0","0",0,0,0,0,"0",0,"1","1",0,0
"Anabaena.cylindrica.PCC7122","0",1,"0",1,1,"1","1","0","1","0","0","0","0","1","0","0",0,0,0,1,"1",0,"0","1",1,0
"Anabaena.sp.PCC7108","0",1,"0",1,1,"1","1","1","0","1","1","1","0","1","0","0",0,0,0,1,"1",0,"0","1",1,0
"Anabaena.variabilis.ATCC29413","0",1,"0",1,1,"1","1","1","0","1","1","1","0","1","0","1",0,0,0,1,"1",0,"0","1",1,0
"Arthrospira.maxima.CS.328","0",0,"1",0,0,"0","1","0","1","0","0","0","0","1","1","1",0,0,0,1,"1",0,"0","0",1,1
"Arthrospira.platensis.str.Paraca","0",0,"0",0,0,"0","1","1",NA,NA,NA,NA,NA,"1","1","1",0,0,0,1,"1",0,"0","0",1,0
"Arthrospira.sp.PCC8005","0",0,"1",0,0,"0","1","0","1","0","0","0","0","1","1","1",0,0,0,1,"1",0,"0","0",1,1
"Calothrix.sp.PCC6303","0",1,"0",0,1,"1","1","1","0","0","1","1","0","1","1","0",1,0,0,1,"1",0,"0","0",NA,0
"Calothrix.sp.PCC7103","0",1,"0",0,1,"1","1","1","0","0","1","1","0","1","1","0",1,0,0,1,"1",0,"0","0",1,0
"Calothrix.sp.PCC7507","0",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,0,0,1,"1",0,"0","0",1,0
"Chamaesiphon.minutus.PCC6605","0",1,"0",0,0,"0","0","1","0","0","1","1","0","0","0","0",0,0,0,0,"0",0,"1","0",0,0
"Chlorogloeopsis.fritschii.PCC6912","1",1,"0",1,1,"1","0","1","1","0","0","0","0","1","1","0",0,0,1,1,"1",0,"1","1",0,0
"Chlorogloeopsis.sp.PCC9212","1",1,"0",1,1,"1","0","1","1","0","0","0","0","1","1","0",0,0,1,1,"1",0,"1","1",NA,0
"Chroococcidiopsis.thermalis.PCC7203","0",1,"0",0,0,"1","0","1","0","0","1","0","1","0","0","0",0,0,1,0,"0",1,"1","1",1,0
"Crinalium.epipsammum.PCC9333","0",1,"0",0,0,"0","1","1","0","0","1","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Crocosphaera.watsonii.WH0003","0",0,"1",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,1
"Crocosphaera.watsonii.WH8501","0",0,"1",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Cyanobacterium.aponinum.PCC10605","0",1,NA,0,0,NA,"0","1","0","1","0","0","0","0","0","0",0,0,0,0,"0",0,"1","1",0,0
"Cyanobacterium.stanieri.PCC7202","0",1,NA,0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,NA
"Cyanobacterium.UCYN.A","0",0,"1",0,0,"1","0","1","0","0","0","1","0",NA,"0",NA,0,0,0,0,"0",0,NA,NA,0,0
"Cyanobium.gracile.PCC6307","0",1,"0",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Cyanobium.sp.PCC7001","0",1,NA,0,0,"0","0","0",NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,NA
"Cyanothece.sp.ATCC51142","0",0,"1",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,1
"Cyanothece.sp.ATCC51472","0",0,"1",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",1,1
"Cyanothece.sp.CCY0110","0",0,"1",0,0,"1","0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","1",NA,1
"Cyanothece.sp.PCC7424","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,0
"Cyanothece.sp.PCC7425","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,0
"Cyanothece.sp.PCC7822","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,0
"Cyanothece.sp.PCC8801","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Cyanothece.sp.PCC8802","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",0,0
"Cylindrospermopsis.raciborskii.CS.505","0",1,"0",1,1,"1","1","0","1","0","0","0","0","0","0","1",0,0,0,1,"1",0,"0","0",0,0
"Cylindrospermum.stagnale.PCC7417","0",0,"0",1,1,"1","1","1","0","0","0","0","1","1","0","0",0,0,0,1,"1",0,"0","1",0,0
"Dactylococcopsis.salina.PCC8305","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","1",0,0,0,0,"0",0,"0","0",1,1
"Fischerella.muscicola.PCC73103","1",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,1,1,1,"1",0,"0","1",1,0
"Fischerella.muscicola.PCC7414","1",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,1,1,1,"1",0,"0","1",1,0
"Fischerella.sp.JSC.11","1",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1",NA,1,1,1,1,"1",0,"0","1",NA,0
"Fischerella.sp.PCC9339","0",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,1,1,1,"1",0,"0","1",NA,0
"Fischerella.thermalis.PCC7521","1",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,1,1,1,"1",0,"0","1",1,0
"Geitlerinema.sp.PCC7105","0",0,"1",0,0,"0","1","1","0","1","0","1","0","1","1","0",0,0,0,1,"1",0,"0","1",0,0
"Geitlerinema.sp.PCC7407","0",1,NA,0,0,"0","1","1","0","1","0","1","0","1","1","0",0,0,0,1,"1",0,"0","1",0,0
"Geminocystis.herdmanii.PCC6308","0",1,"0",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,1,0,"0",0,"0","1",1,0
"Gloeobacter.violaceus.PCC7421","0",1,"0",0,0,"0","0","1","0","0","1","0","0","0","0","0",0,0,0,0,"0",0,"1","1",0,0
"Gloeocapsa.sp.PCC73106","0",1,"0",0,0,"0","0","1","0","0","1","1","0","1","0","0",0,0,1,0,"0",0,"1","1",1,0
"Gloeocapsa.sp.PCC7428","0",1,NA,0,0,"0","0","1","0","0","1","1","0","0","0","0",0,0,1,0,"0",0,"1","1",0,0
"Halothece.sp.PCC7418","0",0,"1",0,0,NA,"0","1","0","1","0","0","0","0","0","1",0,0,0,0,"0",0,"0","0",1,0
"Leptolyngbya.sp.PCC6406","0",1,"0",0,0,"1","1","1","0","0","1","1","1","1","1","1",0,0,0,1,"1",0,"1","0",0,0
"Leptolyngbya.sp.PCC7375","0",0,"1",0,0,NA,"1","1","0","0","1","1","1","0","1","0",0,1,0,1,"1",0,NA,"0",NA,0
"Leptolyngbya.sp.PCC7376","0",0,"1",0,0,NA,"1","0","0","0","1","1","1","0","1","0",0,0,0,1,"1",0,"1","0",0,1
"Lyngbya.sp.PCC8106","0",0,NA,0,0,"1","1","1","0","1","0","0","0","1","1","0",0,0,0,1,"1",0,"1","0",1,0
"Mastigocladopsis.repens.PCC10914","0",1,"0",0,1,"1","1","1","0","0","1","0","0","1","0","0",0,1,1,1,"1",0,"1","0",NA,0
"Microchaete.sp.PCC7126","0",1,"0",1,1,"1","1","1","0","0","1","1","1","1","1","0",1,0,0,1,"1",0,"1","0",NA,0
"Microcoleus.chthonoplastes.PCC7420","0",0,"1",0,0,"0","1","1","0","0","1","1","1","1","1","0",0,0,0,0,"1",0,"1","1",1,0
"Microcoleus.sp.PCC7113","0",1,"0",0,0,"1","1","1","0","0","1","1","1","1","1","0",0,0,0,0,"1",0,"1","1",1,0
"Microcoleus.vaginatus.FGP.2","0",1,"0",0,0,"1","1","1","0","0","1","1","1","1","1","0",0,0,0,0,"1",0,"1","1",1,0
