Taxon,agar,beta.agarase.BLAST,alginate.alginic acid,alginate.lyase,amylopectin,carrageenan,carrageenan.lysase.BLAST,cellulose,chitin,chitinase.BLAST,chondroitin.sulfate,chondroitin.sulfatase.BLAST,fucoidan,heparinase.BLAST,laminarin,pectin,pectinase.BLAST,ulvan.polysaccharides,aerobic.microaerophilic,anaerobic,habitat,freshwater,brackish,marine,hypersaline
Adhaeribacter.aquaticus.DSM16391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0&1,1,1,0,0
Aequorivita.capsosiphonis.DSM23843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Aequorivita.sublithincola.DSM14238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2,0,1,1,0
Algoriphagus.mannitolivorans.DSM15301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Algoriphagus.marincola.DSM16067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2,0,1,1,0
Algoriphagus.sp.PR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2,0,1,1,0
Algoriphagus.terrigena.DSM22685,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2,0,1,1,0
Algoriphagus.vanfongensis.DSM17529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2,0,1,1,0
Alistipes.indistinctus.YIT12060,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0&1,1,1,0,0
Alistipes.onderdonkii.DSM19147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Alistipes.putredinis.DSM17216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Anaerophaga.thermohalophila.DSM12881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1&2&3,0,1,1,1
Arcticibacter.svalbardensis.MN12.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Arenibacter.certesii.DSM19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2&3,0,1,1,1
Arenibacter.latericius.DSM15913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Bacteroides.barnesiae.DSM18169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.caccae.ATCC43185,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.cellulosilyticus.DSM.7136,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0
Bacteroides.coprocola.DSM17136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.coprosuis.DSM18011,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.dorei.DSM17855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Bacteroides.faecis.JCM16478,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
Bacteroides.finegoldii.DSM17565,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
Bacteroides.fluxus.DSM22534,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.fragilis.NCTC9343,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.gallinarum.DSM18171,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.graminisolvens.DSM19988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0
Bacteroides.intestinalis.DSM17393,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
Bacteroides.ovatus.ATCC8483,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
Bacteroides.paurosaccharolyticus.JCM15092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
Bacteroides.plebeius.DSM17135,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
Bacteroides.propionicifaciens.DSM19291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.rodentium.JCM16496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
