Species,Inflorescence type,Resupination,Habit,bract width,,taxcode,subgenus,section
abaloi,1,0,1,1,,8,Griggsia,Pastazae
acuminata,0,1,1,0,,5,Stenochlamys,
aemygdiana_subsp_aemygdiana,0,1,0,0,,8.4,Griggsia,Lingulatae
aemygdiana_subsp_transandina,0,1,0,0,,8.4,Griggsia,Lingulatae
albicosta,0,0,0,1,,3.1,Tortex,Tortex
angusta,0,1,0,0,,4,Lanea,
apparicioi,0,1,4,0,,7.5,Heliconia,Zingiberastrum
aristeguietae,1,1,1,0,,9,i.s.,
arrecta,1,0,0,1,,8.5,Griggsia,Spiralae
atratensis,0,0,0,1,,8.2,Griggsia,Longae
atropurpurea,0,0,0,1,,3.1,Tortex,Tortex
aurantiaca,0,1,4,0,,3.2,Tortex,Aurantiacae
aurea,0,0,0,1,,7.1,Heliconia,Heliconia
badilloi,1,0,0,1,,6,Sigmoideae,
beckneri,0,0,0,1,,3.1,Tortex,Tortex
bella,0,0,0,1,,3.1,Tortex,Tortex
berryi,0,1,2,0,,8,Griggsia,
bihai,0,0,0,1,,7.1,Heliconia,Heliconia
bourgaeana,0,0,0,1,,3.1,Tortex,Tortex
brachyantha,0,1,0,0,,5,Stenochlamys,
brenneri,0,0,0,1,,2,Novae,
burleana,0,1,0,0,,6,Sigmoideae,
calatheaphylla,0,1,2,0,,7.4,Heliconia,Cannastrum
caquetensis,1,0,0,1,,6,Sigmoideae,
caribaea,0,0,0,1,,7.1,Heliconia,Heliconia
chartacea,1,0,1,1,,8.3,Griggsia,Rostratae
chrysocraspeda,1,0,0,1,,3.1,Tortex,Tortex
clinophila,0,0,1,1,,3.1,Tortex,Tortex
colgantea,1,0,0,1,,6,Sigmoideae,
collinsiana,1,0,0,1,,3.1,Tortex,Tortex
combinata,1,0,0,1,,9,i.s.,
cordata,0,1,4,0,,7.5,Heliconia,Zingiberastrum
crassa,0,1,4,0,,3.2,Tortex,Aurantiacae
cucullata,0,0,2,1,,4,Lanea,
curtispatha,1,0,0,1,,8.2,Griggsia,Longae
danielsiana,1,0,0,1,,8.2,Griggsia,Longae
darienensis,0,0,0,1,,3.1,Tortex,Tortex
dasyantha,0,1,0,0,,5,Stenochlamys,
densiflora,0,1,1,0,,5,Stenochlamys,
dielsiana,1,0,0,1,,6,Sigmoideae,
donstonea,1,0,0,1,,8.2,Griggsia,Longae
episcopalis,0,0,0,1,,8.3,Griggsia,Rostratae
