species,Numb,arrangment,inflType,perColor,vegHabitLike,APerianthLengthCm,inflLengthCm,numberCincinnalBracts,ovaryLengthMm,totalHtm,bWidthCm,bladeLengthCm,elev
rodriguezii,97-5797,distichous,erect,yellow_green,musa,1,6.3,3.8,1,1.16,11.040000000000001,27.6,956
acuminata,96-5587,distichous,erect,white_green,musa,2.765,8.25,2.525,2.55,1.8589999999999995,7.4,34.75,301.66101694915255
bihai,92-3547,distichous,erect,white_green,musa,5.9410596026490055,34.609271523178805,7.443708609271523,5.728476821192053,3.1711920529801327,34.450331125827816,161.2185430463576,437.57142857142856
caribaea,09-8657D,distichous,erect,white_green,musa,6.024264705882355,35.0264705882353,10.128676470588236,6.724264705882353,4.078676470588236,43.55367647058823,188.46397058823527,404.3114754098361
densiflora,91-3236,distichous,erect,orange_yellow,canna,2.857142857142857,9.5,3.5714285714285716,4,2.2142857142857144,7.785714285714286,21,236.80645161290323
psittacorum,94-4565,distichous,erect,yellow_green,zingiber,1.8333333333333333,8.616666666666667,1.3333333333333333,2,1.3483333333333334,3.5749999999999997,21.958333333333332,308.6006711409396
rostrata,96-5688B,distichous,pendent,yellow_green,canna,2.1,31.615384615384617,10.76923076923077,3.3076923076923075,3.6923076923076925,11.923076923076923,48.23076923076923,539.2589928057554
stricta,96-5717,distichous,erect,orange_yellow,zingiber,2.069565217391305,10.73913043478261,1.9130434782608696,1.6956521739130435,2.1956521739130435,7.552173913043478,35.65217391304348,426.2512315270936
mathiasiae,92-3492,distichous,erect,orange_yellow,zingiber,1.25,3.75,1.25,1.5,3.7,4.5,19.5,474.27814569536423
gracilis,97-5798,distichous,erect,white,musa_canna,NA,1.8,1,NA,0.96,3.8,15.4,1328
waoraniana,01-6858,NA,NA,yellow,NA,NA,NA,NA,NA,2.25,NA,NA,277.5
chartacea,96-5705,spiral,pendent,green,canna,3.933333333333334,39.6,6.2,4.34,3.5133333333333336,16.733333333333334,67,499.3176470588235
pseudoaemygdiana,91-3262,spiral,erect,NA,NA,NA,NA,NA,NA,2,NA,NA,473
vaginalis,95-5421,distichous,erect,yellow_green,canna_zingiber,2.0999999999999996,6.3076923076923075,2.1538461538461537,2,2.696153846153846,5.538461538461538,26.46153846153846,417.1226053639847
brachyantha,94-3648,distichous,erect,white_green,canna,0.5,2.1666666666666665,1,0.8333333333333334,1.1333333333333333,1.8333333333333333,8.333333333333334,345.57142857142856
lennartiana,82-1314,distichous,erect,white_green,musa,3.966666666666667,21,4.666666666666667,3.3333333333333335,1.9833333333333334,16.666666666666668,90.66666666666667,457.6666666666667
librata,92-3513,distichous,erect,yellow_green,musa,0.7333333333333334,7.666666666666667,6.333333333333333,2.3333333333333335,2.0833333333333335,8,30,447.4590163934426
reticulata,89-2566,distichous,erect,white_green,musa,3.4375,20.75,10.125,5.25,1.50625,17.25,46,619.3255813953489
indica,83-1551B,distichous,erect,pink_red_green,musa,4.9312499999999995,33.875,6.71875,11.25,4.5234375,36.65625,144.125,497.64
