ID,species,Lat_y,Long_x,E_ElevM,E_MinElevM,E_MaxElevM,elevation
16102,abaloi,1.93738,-76.030405,1400,,,1400
16526,abaloi,1.922367,-76.026098,1380,,,1380
1375,acuminata,-12.9,-69.3,,250,,239
5778,acuminata,-17.06,-65.47,,510,,518
5854,acuminata,-15.09,-68.49,,1403,,1428
5857,acuminata,-15.04,-68.46,,920,,854
5858,acuminata,-15.08,-68.49,,1294,,1397
5859,acuminata,-15.15,-68.51,,788,,1027
5872,acuminata,-15.7,-67.58,,1500,,986
5875,acuminata,-15.28,-67.07,,900,,783
5914,acuminata,-14.6,-68.93,,1900,,1767
5915,acuminata,-14.85,-68.45,,1356,,1366
5986,acuminata,-14.75,-61.14,,220,,170
6016,acuminata,-14.56,-60.93,,200,,210
6087,acuminata,-13.89,-60.81,,500,,464
6119,acuminata,-12.82,-69.28,,260,,208
6125,acuminata,-12.83,-69.28,,260,,211
6145,acuminata,-12.82,-69.28,,260,,208
6182,acuminata,-12.95,-68.91,,210,,205
6340,acuminata,-11,-66.08,,230,,139
6386,acuminata,-9.411,-68.124,,350,,148
6393,acuminata,-9.5,-68.9,,,,190
6394,acuminata,-9.957,-67.4,,,,163
6491,acuminata,-8.9291,-62.0912,,,,91
6492,acuminata,-8.8842,-62.2167,,,,111
6503,acuminata,-7.8,-72.3,,240,,227
6505,acuminata,-7.697,-72.816,,,,208
6512,acuminata,-7.684,-72.714,,975,1707,190
6541,acuminata,-6.25,-76.28,,200,,182
6691,acuminata,-4.43,-74.08,,,,114
6720,acuminata,-4.92,-73.75,,130,,110
6743,acuminata,-4.8,-52.5,,,,176
6857,acuminata,-3.8,-73.42,,122,,103
6868,acuminata,-3.58,-73.9,,160,,160
6870,acuminata,-3.9,-73.78,,140,,104
6889,acuminata,-3.85,-73.37,,130,,104
6975,acuminata,-3.32,-71.86,,,,99
7012,acuminata,-3.1,-45.8,,,,41
7148,acuminata,-2.9133334,-59.979443,,50,,64
7345,acuminata,-1.627,-48.902,,,,2
7906,acuminata,0.83,-66.17,,190,340,138
7909,acuminata,-0.97,-49.93,,,,21
8415,acuminata,1.53,-66.53,,125,,98
8416,acuminata,1.93,-66.97,,120,,115
8417,acuminata,1.98,-66.97,,120,,113
8436,acuminata,1.25694,-70.2339,,,,173
8444,acuminata,1.85,-67.05,,120,,97
8445,acuminata,1.78,-67.27,,120,,103
8447,acuminata,1.92,-67.05,,120,,96
8448,acuminata,1.24,-66.83,,100,,99
8449,acuminata,1.83,-66.63,,,,83
8484,acuminata,2.17,-65.57,,990,1670,183
8493,acuminata,2.25,-59.17,,300,400,277
8499,acuminata,2.2167,-54.4667,,350,,396
8500,acuminata,2.45,-54.5167,,160,,252
8506,acuminata,2.82,-54.97,,175,,187
8507,acuminata,2.77,-54.85,,175,,175
8508,acuminata,2.34,-54.5833,,370,,430
8510,acuminata,2.292,-54.6022,,450,,368
8513,acuminata,2.2863,-54.5203,,500,,405
8523,acuminata,2.5167,-53.817,,170,,178
8524,acuminata,2.5747,-53.5522,,,,185
8525,acuminata,2.5033,-53.8233,,200,,203
8527,acuminata,2.8833,-54,,150,,169
8530,acuminata,2.8167,-53.3667,,190,,212
8531,acuminata,2.2422,-52.8683,,,,164
8537,acuminata,2.9,-52.85,,90,,109
8538,acuminata,2.6197,-52.7017,,,,130
8545,acuminata,2.95,-52.5333,,120,,186
8565,acuminata,2.7837,-52.5728,,,,144
8624,acuminata,3.87,-67.92,,,,96
8625,acuminata,3.63,-67.88,,75,,92
8628,acuminata,3.68,-66.45,,95,,134
8630,acuminata,3.65,-65.7,,750,,1050
8631,acuminata,3.73,-65.73,,210,350,500
8635,acuminata,3.65,-53.9667,,,,117
8637,acuminata,3.7333,-53.0333,,,,289
8639,acuminata,3.2567,-53.0333,,,,155
8653,acuminata,3.5167,-53.7167,,150,,352
8655,acuminata,3.55,-53.9167,,,,550
8667,acuminata,3.9,-56.2,,,,622
8670,acuminata,3.18,-56.59,,215,,236
8675,acuminata,3.3333,-54.05,,,,153
8678,acuminata,3.4167,-54.0167,,134,,107
8680,acuminata,3.805,-54.15,,,,94
8682,acuminata,3.1,-54.55,,,,149
8699,acuminata,3.6,-53.2,,200,,271
8701,acuminata,3.6167,-53.2833,,,,285
8705,acuminata,3.655,-53.9667,,,,111
8713,acuminata,3.4667,-53.2167,,150,,200
8717,acuminata,3.5833,-53.3,,,,329
8718,acuminata,3.255,-53.0742,,225,,284
8721,acuminata,3.6167,-53.2167,,420,,251
8742,acuminata,3.9858,-52.5867,,30,,51
8745,acuminata,3.3362,-52.2863,,,,125
8751,acuminata,3.3,-52.95,,520,,588
8754,acuminata,3.8913,-51.8012,,,,9
8901,acuminata,4.58,-67.83,,100,,94
8902,acuminata,4.4,-67.8,,80,85,92
8911,acuminata,4.38,-61.63,,520,,505
8912,acuminata,4.5,-61.5,,850,,1051
8915,acuminata,4.33,-61.85,,400,,491
8917,acuminata,4.68,-61.48,,790,,900
8919,acuminata,4.5,-61.6,,800,900,672
8924,acuminata,4.17,-59.25,,500,1200,289
8932,acuminata,4.67,-58.67,,100,,70
8933,acuminata,4.08,-57.5,,30,130,97
8936,acuminata,4.065,-56.685,,,,97
8947,acuminata,4.5833,-53.35,,350,,255
8948,acuminata,4.7367,-53.953,,,,113
8950,acuminata,4.4705,-53.2863,,150,,166
8961,acuminata,4.95,-53.05,,,,35
8968,acuminata,4.7833,-53.9167,,520,,551
8977,acuminata,4.7367,-53.953,,,,113
8983,acuminata,4.8833,-53.05,,12,,38
9002,acuminata,4.3,-52.4667,,,,59
9003,acuminata,4.5333,-52.2167,,10,,31
9007,acuminata,4.643,-52.9262,,30,,94
9014,acuminata,4.05,-52.7,,,,113
9015,acuminata,4.5027,-52.2833,,20,,40
9017,acuminata,4.55,-52.152,,,,279
9026,acuminata,4.3333,-52.5833,,,,63
9033,acuminata,4.55,-52.45,,,,248
9038,acuminata,4.55,-52.152,,300,,279
9039,acuminata,4.5833,-52.4167,,,,98
9040,acuminata,4.4167,-52.35,,,,273
9043,acuminata,4.5833,-52.3333,,120,,56
9045,acuminata,4.6575,-52.3012,,,,247
9053,acuminata,4.6167,-52.9333,,34,,68
9059,acuminata,4.3333,-52.9,,70,,171
9060,acuminata,4.25,-52.0167,,,,74
9067,acuminata,4.5077,-52.5025,,,,41
9074,acuminata,4.6667,-52.5,,,,55
9076,acuminata,4.5833,-52.3333,,,,56
9079,acuminata,4.8717,-52.3383,,,,16
9081,acuminata,4.0883,-52.7,,50,,320
9088,acuminata,4.9167,-52.5833,,,,57
9089,acuminata,4.0333,-52.0167,,100,,119
9264,acuminata,5.05,-67.79,,125,,71
9265,acuminata,5.58,-67.25,,200,300,126
9269,acuminata,5.85,-67.42,,90,,64
9272,acuminata,5.85,-67.42,,90,,64
9274,acuminata,5.59,-64.29,,260,,268
9276,acuminata,5.93,-62.27,,500,,487
9280,acuminata,5.57,-62.53,,850,1100,676
9281,acuminata,5.9,-62.25,,550,810,517
9284,acuminata,5,-61.17,,850,,841
9287,acuminata,5.32,-61.05,,900,1000,1008
9289,acuminata,5.1667,-59.4833,,500,,439
9291,acuminata,5.1667,-59.4833,,400,,439
9292,acuminata,5.1833334,-59.483334,,450,,452
9293,acuminata,5.2167,-59.45,,90,,348
9297,acuminata,5.33,-58.67,,50,,113
9299,acuminata,5.32,-58.53,,200,,62
9310,acuminata,5.3858,-52.9503,,,,5
9315,acuminata,5.5,-54.0333,,,,8
9317,acuminata,5.3833,-54.0667,,50,,51
9319,acuminata,5.0167,-53.0167,,10,,33
9326,acuminata,5.0583,-53.0528,,20,,33
9327,acuminata,5.52,-53.955,,,,21
9341,acuminata,5.4217,-53.055,,,,4
9346,acuminata,5.14,-53.7517,,,,75
9350,acuminata,5.3167,-53.0333,,,,42
9353,acuminata,5.6333,-53.7,,,,0
9357,acuminata,4.8,-54.6,,500,550,555
9358,acuminata,5.3333,-53.0333,,,,35
9361,acuminata,5.2883,-53.0667,,,,68
9362,acuminata,5.0847,-53.0755,,,,113
9575,acuminata,6.42,-67.42,,37,,67
9576,acuminata,6.42,-67.42,,50,110,67
9588,acuminata,6.67,-65.07,,250,,435
9597,acuminata,6.07,-65.03,,250,,100
9612,acuminata,6.34,-64.67,,100,,70
9614,acuminata,6.35,-64.98,,120,,49
9616,acuminata,6.23,-64.38,,240,,276
9617,acuminata,6.22,-64.47,,220,240,276
9618,acuminata,6.58,-64.75,,80,,73
9619,acuminata,6.357,-64.872,,,,71
9623,acuminata,6.12,-63.75,,300,,382
9624,acuminata,6.23,-63.45,,350,,382
9629,acuminata,6.35,-62.97,,450,,372
9632,acuminata,6.08,-62,,700,,177
9636,acuminata,6.33,-61.5,,100,,247
9638,acuminata,6.08,-60.38,,650,,694
