ID,CollectorNumber,Collector,Collector_CollectorNumber,species,infrageneric_rank,infrageneric_name,Lat_y,Long_x
23432,00(03)-6696A,WJKress,WJKress_00(03)-6696A,bihai,,,13.216111,-61.215
23432,00(03)-6696B,WJKress,WJKress_00(03)-6696B,bihai,,,13.216111,-61.215
23432,00(03)-6696C,WJKress,WJKress_00(03)-6696C,bihai,,,13.216111,-61.215
23432,00(03)-6696D,WJKress,WJKress_00(03)-6696D,bihai,,,13.216111,-61.215
23274,00-6683A,WJKress,WJKress_00-6683A,bihai,,,13.923611,-60.960278
23274,00-6683B,WJKress,WJKress_00-6683B,bihai,,,13.923611,-60.960278
23274,00-6683C,WJKress,WJKress_00-6683C,bihai,,,13.923611,-60.960278
23274,00-6683D,WJKress,WJKress_00-6683D,bihai,,,13.923611,-60.960278
23269,00-6684A,WJKress,WJKress_00-6684A,bihai,,,13.967778,-60.950556
23269,00-6684B,WJKress,WJKress_00-6684B,bihai,,,13.967778,-60.950556
23269,00-6684C,WJKress,WJKress_00-6684C,bihai,,,13.967778,-60.950556
23269,00-6684D,WJKress,WJKress_00-6684D,bihai,,,13.967778,-60.950556
23269,00-6684E,WJKress,WJKress_00-6684E,bihai,,,13.967778,-60.950556
23259,00-6685A,WJKress,WJKress_00-6685A,caribaea,,,13.923611,-60.960278
23259,00-6685B,WJKress,WJKress_00-6685B,caribaea,,,13.923611,-60.960278
23259,00-6685C,WJKress,WJKress_00-6685C,caribaea,,,13.923611,-60.960278
23256,00-6687A,WJKress,WJKress_00-6687A,bihai,,,13.923611,-60.960278
23256,00-6687B,WJKress,WJKress_00-6687B,bihai,,,13.923611,-60.960278
23256,00-6687C,WJKress,WJKress_00-6687C,bihai,,,13.923611,-60.960278
23264,00-6688A,WJKress,WJKress_00-6688A,caribaea,,,13.848611,-60.976111
23264,00-6688B,WJKress,WJKress_00-6688B,caribaea,,,13.848611,-60.976111
23264,00-6688C,WJKress,WJKress_00-6688C,caribaea,,,13.848611,-60.976111
23264,00-6688D,WJKress,WJKress_00-6688D,caribaea,,,13.848611,-60.976111
