ID,Collector_Numb,collection_number,lat.orig,long.orig,ID_species_infrageneric_rank_infrageneric_name_collection_number,species,infraspecific_rank,infraspecific_name,speciesinfraspecific,species_rec,speciesinfra_rec,latTRUE,longTRUE,PhylogenyName,Resupination,Inflorescence,FBColor_code,FBColor,FBColor_original_language,FBDescription_code,FBDescription,FBDescription_original_language,abaxialTexture_code,abaxialTexture,abaxialTexture_original_language,anthers_code,anthers,anthers_original_language,arrangment_code,arrangment,arrangment_original_language,bAboveMidribColor_code,bAboveMidribColor,bAboveMidribColor_original_language,bAboveTexture_code,bAboveTexture,bAboveTexture_original_language,bApex_code,bApex,bApex_original_language,bBase_code,bBase,bBase_original_language,bColorAbove_code,bColorAbove,bColorAbove_original_language,bColorBelow_code,bColorBelow,bColorBelow_original_language,bMidribTexture_code,bMidribTexture,bMidribTexture_original_language,bUnderMidribColor_code,bUnderMidribColor,bUnderMidribColor_original_language,bUnderMidribTexture_code,bUnderMidribTexture,bUnderMidribTexture_original_language,bUndersideTexture_code,bUndersideTexture,bUndersideTexture_original_language,basalBractFertile_code,basalBractFertile,basalBractFertile_original_language,disturbance_code,disturbance,disturbance_original_language,drainage_code,drainage,drainage_original_language,freeSepals_code,freeSepals,freeSepals_original_language,fruitColor_code,fruitColor,fruitColor_original_language,fruitTexture_code,fruitTexture,fruitTexture_original_language,fusedSepals_code,fusedSepals,fusedSepals_original_language,inflType_code,inflType,inflType_original_language,innerTexture_code,innerTexture,innerTexture_original_language,midBractApex_code,midBractApex,midBractApex_original_language,midBractInnerColor_code,midBractInnerColor,midBractInnerColor_original_language,midBractMargin_code,midBractMargin,midBractMargin_original_language,midBractOuterColor_code,midBractOuterColor,midBractOuterColor_original_language,outerTexture_code,outerTexture,outerTexture_original_language,ovaryColor_code,ovaryColor,ovaryColor_original_language,ovaryTexture_code,ovaryTexture,ovaryTexture_original_language,pedColor_code,pedColor,pedColor_original_language,pedTexture_code,pedTexture,pedTexture_original_language,pediColor_code,pediColor,pediColor_original_language,pediTexture_code,pediTexture,pediTexture_original_language,perColor_code,perColor,perColor_original_language,perTexture_code,perTexture,perTexture_original_language,petColor_code,petColor,petColor_original_language,petTexture_code,petTexture,petTexture_original_language,rColor_code,rColor,rColor_original_language,rTexture_code,rTexture,rTexture_original_language,rType_code,rType,rType_original_language,soil_code,soil,soil_original_language,stamApex_code,stamApex,stamApex_original_language,stamColor_code,stamColor,stamColor_original_language,trunkColor_code,trunkColor,trunkColor_original_language,trunkTexture_code,trunkTexture,trunkTexture_original_language,vegHabitLike_code,vegHabitLike,vegHabitLike_original_language,APerianthLengthCm,angleBetweenBracts,bWidthCm,bladeLengthCm,bractAngle,canopy,elevM,floralBractLengthCm,floralBractWidthCm,minFruitDim,maxFruitDim,iAngle,inflLengthCm,internodeDistanceCm,leavesShoot,midBractLengthCm,midBractWidthCm,nectarChamberWidthCm,numberBStamInsertionCm,numberCincinnalBracts,numberFertile,numberFlowersInBract,numberFlowersOpen,ovaryLengthMm,ovaryWidthMm,pedDiaCm,pedicelLengthMm,peduncleLengthCm,perWidthCm,periCurvature,petDiaCm,petioleLengthCm,rachisDiaCm,shootsClump,slope,stamWidthMm,staminodeLengthMm,totalHtm,trunkDiaCm,trunkHtCm,stamABCm,nectarChamberLengthCm,lat,long,Elevation,FID_tnc_te,ECO_ID_U,ECO_CODE,ECO_NAME,ECO_NUM,ECODE_NAME,ECO_NOTES,WWF_REALM,WWF_REALM2,WWF_MHTNUM,WWF_MHTNAM,RealmMHT,SOURCEDATA,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,latTRUE,longTRUE
368LM,WJKress_90-3125,90-3125,1.9298735,-76.02825150000001,368_abaloi___90-3125,abaloi,0,0,abaloi,abaloi,abaloi,TRUE,TRUE,H_abaloi_Kress_903125,nonresupinate,pendant,3.5,yellow,pale_yellow_to_yellow,2.5,opaque_persistent,opaque__persistent,0,0,0,0,connivent,connivent,0,distichous,distichous,0,green,green,0,glabrous,glab,1,acute,acute,2.5,truncate_cordate,truncate_to_cordate,0,green,green,0,green,green,0,glabrous,glab,2,red_and_yellow_red,red,0,0,0,0,glabrous,glab,0,fertile,fertile,3,great,great,2,poor_none,poor,0,reflexed,reflexed,0,0,0,0,0,0,0,not_flared,no,1,pendent,pendent,3,puberulous_pubescent,minutely_oubescent,1,acute_acuminate,acute_to_acuminate,6.5,yellow,yellow,1,revolute,revolute,5,red_yellow,red_with_yellow_margins,3.5,puberulous_pubescent,sparsely_pubescent,5,yellow_white_with_green,pale_yellow,0,glabrous,glab,0,0,0,4.5,pubescent_puberulous,pubescent_with_orange_hairs,3.5,yellow_orange_white,pale_yellow,2,pubescent_puberulous,densely_pubescent,5,yellow,pale_yellow_basally_to_yellow_distally,1,glabrous_puberulous_pubescent,glabrous_to_pubescent,0,0,0,0,glabrous,glab,3.5,red,red,5,pubescent_puberulous,pubescent_with_orange_hairs,0,flexuose,flexuose,0,0,0,0,acuminate,acuminate,0.5,white,white,0.5,green_red_maroon_purple_pink,green_with_dull_red,0,0,0,2,musa,Musa,2.35,87.5,18.5,40,80,0,700,3.15,0.1,0,0,5,20,1.5,1.5,5.25,4,0,0.5,6.5,5,5,0.5,3.5,3,4.5,1,21.5,0.5,37.5,0.75,55,3.5,10.5,0,1,3,2.25,1.9,87.5,1.85,0,1.9298735,-76.02825150000001,"1,433",330,"10,350",NT0136,Magdalena Valley Montane Forests,36,NT0136. Magdalena Valley montane forests,0,NT,Neotropic,1,Tropical and Subtropical Moist Broadleaf Forests,NT1,"WWF. 2003. Update to Olson, 2001",198.5,200.5,196.5,"1,377",145.5,66,22,425.5,240.5,314,400.5,102,90.5,186,256.5,144.5,112.5,197,199,TRUE,TRUE
6978L,TBCroat_20685,TT-145,0.6028387107638887,-56.48607826145833,373_acuminata___96-5587,acuminata,ssp.,psittacorastra,acuminata_ssp_psittacorastra,acuminata,acuminata_ssp_psittacorastra,TRUE,TRUE,0,resupinate,erect,0.21180555555555555,white,white,0.3402777777777778,translucent_decomposing,translucent__decomposing,0,glabrous,glab,0.027777777777777776,flared,flared,0.003472222222222222,distichous,distichous,0.041666666666666664,dark_green,dark_green,0,glabrous,glab,0.013888888888888888,acuminate,acuminate,0.04513888888888889,attenuate,attenuate,0.09722222222222222,dark_green,dark_green,0.010416666666666666,green,grey_green,0,glabrous,glab,0.1284722222222222,green_red,red_green,0.010416666666666666,glaucous,glauc_with_white_wax,0.006944444444444444,glabrous,glab,0,fertile,fertile,0.0763888888888889,none,none,0.09722222222222222,dry,dry,0.041666666666666664,reflexed,reflexed,0,0,0,0,0,0,0.06944444444444445,flared,flared,0,erect,erect,0,glabrous,glab,0,acuminate,acuminate,0.3333333333333333,red,scarlet_red_with_white_keel,0.10416666666666667,revolute,revolute,0.2152777777777778,red,scarlet_red,0.0763888888888889,glabrous,glab,0.2708333333333333,white_and_white_with_green,white_with_dark_green_apex,0,glabrous,glab,0,0,0,0.0625,glaucous,glauc,0.16666666666666666,white_cream_with_green,white,0.03819444444444445,glabrous,glab,0.2361111111111111,white_green,white__corolla_with_dark_green_apex__3_sepals__calyx_with_marginal_dark_green_apex,0.020833333333333332,glabrous,glab,0,0,0,0,glabrous,glab,0.3472222222222222,red,scarlet_red,0.04513888888888889,pubescent_puberulous,puberulous,0,flexuose,flexuose,0.1388888888888889,silt,silt,0.5173611111111112,lobed,lobed,0.04861111111111111,white,white,0.05555555555555555,only_green,green_to_olive_green,0,0,0,0.09722222222222222,musa,musa,0.1920138888888889,6.440972222222222,0.5138888888888888,2.4131944444444446,1.1024305555555556,2.0746527777777777,6.215277777777778,0.09340277777777778,0.02604166666666667,0,0,0.7465277777777778,0.5729166666666666,0.1076388888888889,0.1840277777777778,0.5340277777777778,0.11284722222222222,0,0.04965277777777778,0.1753472222222222,0.11458333333333333,0.328125,0.05555555555555555,0.17708333333333334,0.1701388888888889,0.17604166666666668,0.4479166666666667,1.4444444444444444,0.03680555555555556,0.3506944444444444,0.09583333333333334,1.0815972222222223,0.15833333333333333,0.2482638888888889,0,0.125,0.3229166666666667,0.1290972222222222,0.075,1.78125,0.04131944444444444,0,0.6084880163194444,-56.31627965034722,"1,043",324.6388888888889,"10,376",NT0163,Solimoes-Japura Moist Forests,33.93402777777778,NT0163. Solimoes-Japura Moist Forests,0,NT,Neotropic,1.4861111111111112,Tropical and Subtropical Moist Broadleaf Forests,NT1,"WWF. 2003. Update to Olson, 2001",244.02430555555554,250.51736111111111,236.37847222222223,"2,871",369.1423611111111,66.3125,47.857638888888886,"1,153",242.39236111111111,"1,325","1,153",91.20833333333333,74.99305555555556,"1,097",305.7604166666667,189.38194444444446,116.37847222222223,242.62152777777777,245.4375,TRUE,TRUE
14284L,VRVillar&Trujillo_165VT,165VT,18.201284028,-95.364166316,0,adflexa,0,0,adflexa,adflexa,adflexa,TRUE,TRUE,H_adflexa_Wen_8741_AF,resupinate,erect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.201284028,-95.364166316,"1,603",348.42,"10,367",NT0154,Peten-Veracruz Moist Forests,43.1,NT0154. Peten-Veracruz Moist Forests,0,NT,Neotropic,1.12,Tropical and Subtropical Moist Broadleaf Forests,NT1,"WWF. 2003. Update to Olson, 2001",191.24,210.1,166,"3,893",397.54,52.54,67.96,"1,956",172.84,"1,098",210.04,106.8,64.2,"1,873",272.62,107.24,165.72,202.56,176.94,TRUE,TRUE
21952L,WJKress_89-2939,89-2939,-4.705373133636366,-70.33326881272727,386_aemygdiana_subsp._aemygdiana_96-5686,aemygdiana,ssp.,transandina,aemygdiana_ssp_transandina,aemygdiana,aemygdiana_ssp_transandina,TRUE,TRUE,H_aemygdiana_ssp_transandina_Kress_892939,resupinate,erect,0.07272727272727272,green_to_yellow_or_white,pale_green,0.22727272727272727,trans_pers_or_not_indicated,translucent__persistent,0.17272727272727273,pubescent,pubescent,0.05454545454545454,flared,flared,0.02727272727272727,spiral,spiral,0.02727272727272727,dark_green,dark_green,0,glabrous,glab,0.05454545454545454,acute_obtuse,acute_to_obtuse,0.07272727272727272,truncate,truncate,0.045454545454545456,dark_green,dark_green,0.05454545454545454,green,green,0,glabrous,glab,0.12727272727272726,yellow_and_yellow_brown,pale_yellow,0,0,0,0,glabrous,glab,0,fertile,fertile,0.09090909090909091,moderate,moderate,0.01818181818181818,dry,dry,0.01818181818181818,reflexed,reflexed,0,0,0,0,0,0,0.03636363636363636,flared,flared,0,erect,erect,0.05454545454545454,puberulous_pubescent,minutely_pubescent,0,acuminate,acuminate,0.24545454545454545,pink_yellow,pink__turning_white_to_pale_yellow_at_base,0.05454545454545454,revolute,revolute,0.15454545454545454,pink_yellow,pink__turning_white_to_pale_yellow_at_base,0.09090909090909091,hirsute,hirsute,0.07272727272727272,yellow_green,green__apex_mostly_yellow,0.02727272727272727,puberulous_pubescent,pubescent,0,0,0,0.07272727272727272,hirsute,sparsely_hirsute,0.17272727272727273,yellow_orange_white,pale_yellow_green,0.045454545454545456,pubescent_puberulous,pubescent,0.1,green,green,0.1,pubescent_puberulous,pubescent,0,0,0,0,glabrous,glab,0.21818181818181817,green_yellow,yellow_pubescent_lower_rachis_becoming_light_green,0.08181818181818182,hirsute,hirsute,0.00909090909090909,straight,straight,0.02727272727272727,humus,humus,0.20909090909090908,acute,acute,0.02727272727272727,white,white,0.06363636363636363,green_red_maroon_purple_pink,green_with_red_blotches,0,0,0,0.10909090909090909,musa,Musa,0.13727272727272727,4.909090909090909,1.0363636363636364,4.818181818181818,1.7727272727272727,0.7954545454545454,14.445454545454545,0.2,0.05363636363636364,0,0,0.4090909090909091,1.0727272727272728,0.1,0.1,0.5,0.13090909090909092,0,0.10909090909090909,0.34545454545454546,0.24545454545454545,0.2636363636363636,0.03636363636363636,0.17272727272727273,0.21818181818181817,0.04090909090909091,0.6818181818181818,1.7818181818181817,0.030909090909090907,1.3181818181818181,0.15454545454545454,2.7545454545454544,0.02909090909090909,0.5636363636363636,0.5454545454545454,0.13636363636363635,0.3,0.12272727272727273,0.1409090909090909,2.3181818181818183,0,0,-4.705373133636366,-70.33326881272727,"1,654",330.9818181818182,"10,359",NT0145,Northwestern Andean Montane Forests,37.69090909090909,NT0145. Northwestern Andean montane forests,0,NT,Neotropic,1.0818181818181818,Tropical and Subtropical Moist Broadleaf Forests,NT1,"WWF. 2003. Update to Olson, 2001",225.6909090909091,232.5818181818182,216.79090909090908,"2,297",318.9,129.45454545454547,32.945454545454545,"1,166",427.3272727272727,"1,010","1,146",97.15454545454546,79.3,"1,590",286.3181818181818,165.97272727272727,120.36363636363636,227.23636363636365,222.13636363636363,TRUE,TRUE
407LM,WJKress_82-1349,82-1349,8.769083,-82.199331,407_af_atropurpurea___82-1349,aff_atropurpurea,0,0,aff_atropurpurea,aff_atropurpurea,aff_atropurpurea,TRUE,TRUE,0,nonresupinate,erect,0,0,0,0,0,0,0,0,0,0,0,0,0,distichous,distichous,0,green,green,0,glabrous,glab,2,acute,acute,4,truncate,truncate,0,green,green,0,green,green,0,glabrous,glab,6,yellow_green,yellow_green,7,scurfy,scurfy,0,glabrous,glab,1,sterile,sterile,2,slight,slight,2,dry,dry,0,0,0,0,0,0,0,0,0,0,0,0,0,erect,erect,0,glabrous,glab,1,acute,acute,2,orange_and_yellow_orange,orange,0,involute,involute,0,0,0,2,glabrous,glab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glabrous,glab,0,0,0,0,0,0,1,straight,straight,0,0,0,0,0,0,0,0,0,3,only_green,green,0,0,0,4,musa,Musa,0,180,35,90,0,75,1100,0,0,0,0,0,15,0,4,0,0,0,0,0,3,0,0,0,0,1.7,0,0,0,0,1.3,100,0,6,22.5,0,0,1.75,3.5,60,0,0,8.769083,-82.199331,"1,091",376,"10,379",NT0167,Talamancan Montane Forests,67,NT0167. Talamancan montane forests,0,NT,Neotropic,1,Tropical and Subtropical Moist Broadleaf Forests,NT1,"WWF. 2003. Update to Olson, 2001",209,214,203,"3,218",388,135,30,"1,046",481,585,655,93,78,436,269,149,119,206,210,TRUE,TRUE
100000WI,WJKress_94-3648,94-3648,-3.470917,-60.0711,0,aff_brachyantha,0,0,aff_brachyantha,aff_brachyantha,aff_brachyantha,FALSE,FALSE,H_brachyantha_Kress_943648,resupinate,erect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
557LM,WJKress_95-5402(5957),95-5402_(5957),3.375,-38.14,557_af._fragilis___95-5402_(5957),aff_fragilis,0,0,aff_fragilis,aff_fragilis,aff_fragilis,TRUE,TRUE,0,nonresupinate,pendant,3.5,yellow,bright_yellow,5,opaque_persistent,opaque__persistent,0,glabrous,glab,1,flared,slightly_flared,0,distichous,distichous,1.5,green,green,0,glabrous,glab,1,acuminate,acuminate,4,truncate,truncate,5,dark_green,dark_green,0,green,green,0,glabrous,glab,4,green_red,red_to_green_red,7,scurfy,scurfy,0,glabrous,glab,1,sterile,sterile,4.5,moderate_great,mod-great,3,dry,dry,0,0,0,0.5,blue,blue,0,0,0,1,flared,flared,2,pendent,pendent,0,glabrous,glab,1,acuminate,acuminate,7.5,yellow,yellow__pale,3,straight,straight,3,orange_red,red_to_red_orange,2,glabrous_pubescent_puberulous,sparsely_puberulous_to_glab,5,yellow_white_with_green,pale_yellow,0,glabrous,glab,0,0,0,4.5,pubescent_puberulous,puberulous,3.5,yellow_orange_white,pale_yellow,0.5,glabrous,glab,5,yellow,bright_yellow,0,glabrous,glab,0,0,0,0,glabrous,glab,7,red,dull_red,5,arachnoid,arachnoid,0,flexuose,flexuose,0,0,0,0,0,0,0.5,white,white,0,only_green_brown,green_and_tan_with_green_lenticels,5,scurfy,sl_scurfy,4,musa,Musa,2.7,180,43,192.5,155,37.5,795,4.85,2.15,0.9,1.1,35,92.5,3,5,9.15,7,0,0.5,22,2,0,0,3,3.5,1.5,16.5,17.5,0.35,38.75,1.7999999999999998,99,1.05,5,0,1,2.5,4.5,4.85,175,2.2,0,3.375,-38.14,"1,998",169.5,"10,359",NT0145,Northwestern Andean Montane Forests,22.5,NT0145. Northwestern Andean montane forests,0,NT,Neotropic,0.5,Tropical and Subtropical Moist Broadleaf Forests,NT1,"WWF. 2003. Update to Olson, 2001",89.5,92,87,"2,452",167.5,43,17.5,414.5,164.5,339.5,378,50,43,189.5,119,61.5,58,87,90,TRUE,TRUE
621LM,WJKress&CRoesel_91-3363,91-3363,-1.4687909999999995,-70.04182800000001,621_aff._Julianii___91-3363,aff_julianii,0,0,aff_julianii,aff_julianii,aff_julianii,TRUE,TRUE,0,resupinate,erect,2.5,green_to_yellow_or_white,white_to_pale_green,8,trans_pers_or_not_indicated,translucent__persistent,4,puberulous,sp_puberulous,2,flared,flared,0,distichous,distichous,1.25,green,green,0,glabrous,glab,1,acute,acute,1,attenuate,attenuate,3.75,dark_green,dark_green,0,green,green,0,glabrous,glab,5.75,light_green,pale_green,5.25,scurfy,sl_scurfy,0,glabrous,glab,0,fertile,fertile,3.5,moderate_great,mod-great,2.5,dry,dry,3,straight,straight,0.25,blue,blue,0.25,pubescent,sp_puberulous,0,not_flared,not_flared,0,erect,erect,0,glabrous,glab,0,acuminate,acuminate,10,red,rose_red,3,straight,straight,5.25,orange_red,red_orange_basally_to_rose_red_distally,4.75,puberulous_pubescent,puberulous,0,0,0,3,puberulous_pubescent,puberulous,0,0,0,7.25,pubescent_puberulous,puberulous,2.5,yellow_green,yellow_green,4,pubescent_puberulous,puberulous,9.5,white_green,pale_green_below_to_dark_green_distally_with_short_white_apex,6,pubescent_puberulous,puberulous_basally_to_pubescent_distally,0,0,0,0,glabrous,glab,7,yellow_orange_red,reddish_yellow,10,pubescent_puberulous,puberulous,0.5,flexuose,flexuose,0,0,0,13.5,apiculate_shouldered,geniculate-apiculate-shouldered,1,white,white,1.75,only_green_brown,brownish_green,2.5,scurfy,scurfy,0,0,0,4.975,180,15.875,74,101.25,59.375,116.5,5.125,1.35,0.45,0.625,10,22,2.425,7.25,10.5,3.75,0,0.625,8,2,8.25,1.25,6.25,5.25,1,13,1.75,1.425,31.25,0.65,55.25,0.7749999999999999,6.25,0,3,5.5,2.75,2.275,105,4.35,0,-1.4687909999999995,-70.04182800000001,148,349.5,"10,346",NT0132,Japura-Solimoes-Negro Moist Forests,47.5,NT0132. Japura-Solimoes-Negro Moist Forests,0,NT,Neotropic,1,Tropical and Subtropical Moist Broadleaf Forests,NT1,"WWF. 2003. Update to Olson, 2001",257.75,262.75,251,"3,437",365.5,138,25.75,"1,143",513.75,643.5,"1,073",92.75,82.75,465,314.75,203.5,111,255,256,TRUE,TRUE
100002WI,WJKress_90-2956,90-2956,-23,-43.5,0,aff_laneana,0,0,aff_laneana,aff_laneana,aff_laneana,FALSE,FALSE,H_laneana_Kress_902956,resupinate,erect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
817LM,WJKress_90-3128,90-3128,3.696389,-76.93,817_af._obscuroides___90-3128,aff_obscuroides,0,0,aff_obscuroides,aff_obscuroides,aff_obscuroides,TRUE,TRUE,0,nonresupinate,pendant,5,white,white,5,opaque_persistent,opaque__persistent,8,puberulous,puberulous,0,connivent,connivent,1,spiral,spiral,1,light_green,light_green,0,glabrous,glab,5,obtuse,obtuse,0,attenuate,attenuate,5,dark_green,dark_green,0,green,green,0,glabrous,glab,6,yellow_green,yellow_green,2,glabrous_scurfy,glab_to_scurfy,0,glabrous,glab,0,fertile,fertile,4,moderate,mod,2,dry,dry,0,reflexed,reflexed,0,0,0,0,0,0,1,slightly_flared,sl_flared,2,pendent,pendent,0,glabrous,glab,0,acuminate,acuminate,13,yellow,yellow,3,straight,straight,3,orange_red,red_orange,2,glabrous,glab,6,white_and_white_with_green,white,0,glabrous,glab,0,0,0,11,scurfy,minutely_scurfy,4,white_cream_with_green,cream,4,pubescent_puberulous,puberulous,0,0,0,6,pubescent_puberulous,puberulous_at_sepal_margin,0,0,0,0,glabrous,glab,7,red,red,0,0,0,0,flexuose,flexuose,0,0,0,19,dentate,spatulate__toothed_at_apex,1,white,white,2,not_green_only_brown_plus,tan_and_brown_with_dark_brown_conspicious_lenticels,0,0,0,4,musa,Musa,4.3,135,31,135,135,50,50,4,1.5,0,0,30,40,3,3,11.2,6,0,0.9,14,1,10,1,4,7,1.1,10,20,0.7,70,1.4,118,1,2,52.5,5,11,3.5,3.4,125,3.4,0,3.696389,-76.93,340,307,"10,327",NT0115,Choco-Darien Moist Forests,15,NT0115. Choco-Darien Moist Forests,0,NT,Neotropic,1,Tropical and Subtropical Moist Broadleaf Forests,NT1,"WWF. 2003. Update to Olson, 2001",253,255,248,"3,876",523,186,31,"1,375",584,707,"1,289",89,92,289,302,206,96,249,254,TRUE,TRUE
