ID,species,Lat_y,Long_x
16102,abaloi,1.93738,-76.030405
16526,abaloi,1.922367,-76.026098
1375,acuminata,-12.9,-69.3
5778,acuminata,-17.06,-65.47
5854,acuminata,-15.09,-68.49
5857,acuminata,-15.04,-68.46
5858,acuminata,-15.08,-68.49
5859,acuminata,-15.15,-68.51
5872,acuminata,-15.7,-67.58
5875,acuminata,-15.28,-67.07
5914,acuminata,-14.6,-68.93
5915,acuminata,-14.85,-68.45
5986,acuminata,-14.75,-61.14
6016,acuminata,-14.56,-60.93
6087,acuminata,-13.89,-60.81
6119,acuminata,-12.82,-69.28
6125,acuminata,-12.83,-69.28
6145,acuminata,-12.82,-69.28
6182,acuminata,-12.95,-68.91
6340,acuminata,-11,-66.08
6386,acuminata,-9.411,-68.124
6393,acuminata,-9.5,-68.9
6394,acuminata,-9.957,-67.4
6491,acuminata,-8.9291,-62.0912
6492,acuminata,-8.8842,-62.2167
6503,acuminata,-7.8,-72.3
6505,acuminata,-7.697,-72.816
6512,acuminata,-7.684,-72.714
6541,acuminata,-6.25,-76.28
6691,acuminata,-4.43,-74.08
6720,acuminata,-4.92,-73.75
6743,acuminata,-4.8,-52.5
6857,acuminata,-3.8,-73.42
6868,acuminata,-3.58,-73.9
6870,acuminata,-3.9,-73.78
6889,acuminata,-3.85,-73.37
6975,acuminata,-3.32,-71.86
7012,acuminata,-3.1,-45.8
7148,acuminata,-2.9133334,-59.979443
7345,acuminata,-1.627,-48.902
7906,acuminata,0.83,-66.17
7909,acuminata,-0.97,-49.93
8415,acuminata,1.53,-66.53
8416,acuminata,1.93,-66.97
8417,acuminata,1.98,-66.97
8436,acuminata,1.25694,-70.2339
8444,acuminata,1.85,-67.05
8445,acuminata,1.78,-67.27
8447,acuminata,1.92,-67.05
8448,acuminata,1.24,-66.83
8449,acuminata,1.83,-66.63
8484,acuminata,2.17,-65.57
8493,acuminata,2.25,-59.17
8499,acuminata,2.2167,-54.4667
8500,acuminata,2.45,-54.5167
8506,acuminata,2.82,-54.97
8507,acuminata,2.77,-54.85
8508,acuminata,2.34,-54.5833
8510,acuminata,2.292,-54.6022
8513,acuminata,2.2863,-54.5203
8523,acuminata,2.5167,-53.817
