ID,CollectorNumber,Collector,Collector_CollectorNumber,species,infrageneric_rank,infrageneric_name,Lat_y,Long_x,Poll
18695,0CJS-1802,nd,nd_0CJS-1802,vellerigera,,,1.25,-78.6666667,1
7008,E1051,ELTaylor,ELTaylor_E1051,chartacea,,,-3.8,-46.1,0
8844,JM1485,JEMendoza&FLeonardo,JEMendoza&FLeonardo_JM1485,venusta,,,4.694444,-75.6025,0
8839,JM2408,JEMendoza&FLeonardo,JEMendoza&FLeonardo_JM2408,venusta,,,4.736944,-75.56389,0
13830,MV14780,MVeliz,MVeliz_MV14780,rostrata,,,14.52,-90.76,1
6474,P12965,PJMMaas,PJMMaas_P12965,chartacea,,,-8.269,-72.744,0
6479,P12967,PJMMaas,PJMMaas_P12967,aemygdiana,subsp.,transandina,-8.269,-72.744,0
6479,P12967,PJMMaas,PJMMaas_P12967,aemygdiana,subsp.,transandina,-8.269,-72.744,0
6479,P12967,PJMMaas,PJMMaas_P12967,aemygdiana,subsp.,transandina,-8.269,-72.744,0
13061,RA008185,RAguilar,RAguilar_RA008185,mariae,,,10.43,-84,0
6327,S15048,JSchunke,JSchunke_S15048,rostrata,,,-10.2,-70.95,1
6325,S15127,JSchunke,JSchunke_S15127,episcopalis,,,-10.2,-70.95,0
14364,V-2411,MVazquez,MVazquez_V-2411,subulata,,,17.27,-94.67,0
9913,nd,AFernandez,AFernandez_nd,pogonantha,,,8.67778,-83.20278,1
9913,nd,AFernandez,AFernandez_nd,pogonantha,,,8.67778,-83.20278,1
8803,nd,AGuerra,AGuerra_nd,mucilagina,,,4.87333,-76.2886,1
11221,nd,ARodriguez,ARodriguez_nd,longa,,,9.67361,-83.02639,1
11248,nd,ARodriguez,ARodriguez_nd,mariae,,,9.67778,-83.02361,0
11298,nd,ARodriguez,ARodriguez_nd,longa,,,9.67778,-83.02361,1
11526,nd,ARodriguez,ARodriguez_nd,pogonantha,var.,pubescens,9.82416,-83.16167,1
11526,nd,ARodriguez,ARodriguez_nd,pogonantha,var.,pubescens,9.82416,-83.16167,1
11648,nd,ARodriguez,ARodriguez_nd,mariae,,,9.6,-82.60833,0
12484,nd,ARodriguez,ARodriguez_nd,longa,,,10.45278,-84.65833,1
12589,nd,ARodriguez,ARodriguez_nd,longa,,,10.40833,-84.60555,1
12837,nd,ARodriguez,ARodriguez_nd,pogonantha,,,10.19778,-83.85667,1
12837,nd,ARodriguez,ARodriguez_nd,pogonantha,,,10.19778,-83.85667,1
12852,nd,ARodriguez,ARodriguez_nd,longa,,,10.19778,-83.85667,1
12862,nd,ARodriguez,ARodriguez_nd,longa,,,10.19,-83.85694,1
7808,nd,ASBarfod,ASBarfod_nd,longa,,,0.8,-78.9,1
11168,nd,BEHammel,BEHammel_nd,stilesii,,,9.76111,-84.58611,1
11295,nd,BEHammel,BEHammel_nd,mariae,,,9.825,-83.06389,0
12487,nd,BEHammel,BEHammel_nd,pogonantha,,,10.71583,-84.174164,1
12487,nd,BEHammel,BEHammel_nd,pogonantha,,,10.71583,-84.174164,1
12834,nd,BGuterrez,BGuterrez_nd,pogonantha,,,10.38833,-83.97361,1
12834,nd,BGuterrez,BGuterrez_nd,pogonantha,,,10.38833,-83.97361,1
12752,nd,BHernandez,BHernandez_nd,ramonensis,,,10.21667,-84.58611,1
9388,nd,BJCBetancur,BJCBetancur_nd,longa,,,6.01667,-77.35,1
9438,nd,BJCBetancur,BJCBetancur_nd,rigida,,,6.00597,-75.0235,0
7037,nd,BLojtnant,BLojtnant_nd,aemygdiana,,,-2.183,-79.116,0
7037,nd,BLojtnant,BLojtnant_nd,aemygdiana,,,-2.183,-79.116,0
7037,nd,BLojtnant,BLojtnant_nd,aemygdiana,,,-2.183,-79.116,0
7125,nd,BLojtnant,BLojtnant_nd,rostrata,,,-2.083,-76.966,1
7356,nd,BLojtnant,BLojtnant_nd,nigripraefixa,,,-0.583,-79.366,0
7365,nd,BLojtnant,BLojtnant_nd,harlingii,,,-0.583,-79.366,0
7378,nd,BLojtnant,BLojtnant_nd,aemygdiana,,,-0.583,-79.366,0
7378,nd,BLojtnant,BLojtnant_nd,aemygdiana,,,-0.583,-79.366,0
7378,nd,BLojtnant,BLojtnant_nd,aemygdiana,,,-0.583,-79.366,0
11447,nd,BOconnor,BOconnor_nd,mariae,,,9.18333,-83.76667,0
12346,nd,BOconnor,BOconnor_nd,pogonantha,,,10.989,-85.42855,1
12346,nd,BOconnor,BOconnor_nd,pogonantha,,,10.989,-85.42855,1
7471,nd,BOllgaard,BOllgaard_nd,subulata,subsp.,subulata,-0.266,-77.766,0
7558,nd,BOllgaard,BOllgaard_nd,aemygdiana,,,-0.516,-76.383,0
7558,nd,BOllgaard,BOllgaard_nd,aemygdiana,,,-0.516,-76.383,0
7558,nd,BOllgaard,BOllgaard_nd,aemygdiana,,,-0.516,-76.383,0
7791,nd,BOllgaard,BOllgaard_nd,harlingii,,,0.2,-78.766,0
9184,nd,CBarbosa,CBarbosa_nd,marginata,,,5.5266666,-75.04056,0
13397,nd,CCEBarbosa,CCEBarbosa_nd,platystachys,,,11.3156,-74.0803,0
9116,nd,CIOrozco,CIOrozco_nd,regalis,,,5.4574,-76.0654,1
9140,nd,CIOrozco,CIOrozco_nd,mucilagina,,,5.4574,-76.0654,1
12453,nd,CPRios,CPRios_nd,pogonantha,,,10.99056,-85.42778,1
12453,nd,CPRios,CPRios_nd,pogonantha,,,10.99056,-85.42778,1
11471,nd,DSantamaria,DSantamaria_nd,pogonantha,var.,pubescens,9.82416,-83.16167,1
11471,nd,DSantamaria,DSantamaria_nd,pogonantha,var.,pubescens,9.82416,-83.16167,1
12833,nd,DSantamaria,DSantamaria_nd,pogonantha,,,10.38972,-83.97139,1
12833,nd,DSantamaria,DSantamaria_nd,pogonantha,,,10.38972,-83.97139,1
12794,nd,DSolano,DSolano_nd,stilesii,,,10.67848,-84.21702,1
9193,nd,Desconocido,Desconocido_nd,platystachys,,,5.5670276,-74.90642,0
9216,nd,Desconocido,Desconocido_nd,platystachys,,,5.55225,-74.894585,0
9227,nd,Desconocido,Desconocido_nd,platystachys,,,5.5235276,-74.90364,0
12735,nd,EFletes,EFletes_nd,ramonensis,,,10.24444,-84.57222,1
23580,nd,EHGUle,EHGUle_nd,juruana,,,-10.8339,-52.8731,1
11474,nd,EMora,EMora_nd,ramonensis,,,9.95278,-83.47361,1
12496,nd,GCarballo,GCarballo_nd,ramonensis,,,10.21667,-84.58889,1
8617,nd,GDavidse,GDavidse_nd,marginata,,,3.92871,-73.0457,0
8776,nd,GEForero,GEForero_nd,nigripraefixa,,,4.16778,-77.145,0
8778,nd,GEForero,GEForero_nd,pogonantha,,,4.69,-76.9294,1
8778,nd,GEForero,GEForero_nd,pogonantha,,,4.69,-76.9294,1
8815,nd,GEForero,GEForero_nd,longa,,,4.87333,-76.2886,1
8830,nd,GEForero,GEForero_nd,nigripraefixa,,,4.87333,-76.2886,0
10168,nd,GInduni,GInduni_nd,stilesii,,,8.48333,-83.46667,1
10216,nd,GInduni,GInduni_nd,stilesii,,,8.61111,-83.522224,1
7579,nd,HBalslev,HBalslev_nd,rostrata,,,-0.483,-77,1
9239,nd,HGarcia-Barriga,HGarcia-Barriga_nd,longa,,,5.0672,-74.9667,1
23855,nd,HLdeMelloBarreto,HLdeMelloBarreto_nd,aemygdiana,,,-12,-57,0
23855,nd,HLdeMelloBarreto,HLdeMelloBarreto_nd,aemygdiana,,,-12,-57,0
23855,nd,HLdeMelloBarreto,HLdeMelloBarreto_nd,aemygdiana,,,-12,-57,0
9416,nd,JBetancur,JBetancur_nd,pogonantha,,,6.783,-76.281,1
9416,nd,JBetancur,JBetancur_nd,pogonantha,,,6.783,-76.281,1
7078,nd,JBrandbyge,JBrandbyge_nd,vellerigera,,,-2.383,-77.5,1
7554,nd,JBrandbyge,JBrandbyge_nd,vellerigera,,,-0.583,-76.9,1
7643,nd,JBrandbyge,JBrandbyge_nd,vellerigera,,,-0.55,-76.9,1
7467,nd,JELawesson,JELawesson_nd,aemygdiana,,,-0.85,-78.466,0
7467,nd,JELawesson,JELawesson_nd,aemygdiana,,,-0.85,-78.466,0
7467,nd,JELawesson,JELawesson_nd,aemygdiana,,,-0.85,-78.466,0
6601,nd,JEMadsen,JEMadsen_nd,subulata,subsp.,subulata,-4.216,-78.933,0
10993,nd,JFMorales,JFMorales_nd,stilesii,,,9.51111,-84.10555,1
11104,nd,JFMorales,JFMorales_nd,stilesii,,,9.72722,-84.37222,1
11330,nd,JFMorales,JFMorales_nd,mariae,,,9.69444,-83.03472,0
12913,nd,JFMorales,JFMorales_nd,pogonantha,,,10.02222,-83.647224,1
12913,nd,JFMorales,JFMorales_nd,pogonantha,,,10.02222,-83.647224,1
12482,nd,JLChaves,JLChaves_nd,ramonensis,,,10.67139,-84.99028,1
8614,nd,JLFernandezAlonso,JLFernandezAlonso_nd,marginata,,,3.96628,-73.6654,0
8854,nd,JMIdrobo,JMIdrobo_nd,rostrata,,,4.32269,-74.3885,1
9983,nd,JQuevedo,JQuevedo_nd,stilesii,,,8.46667,-83.583336,1
11166,nd,JRGrant,JRGrant_nd,stilesii,,,9.525,-84.041664,1
9974,nd,JRGrant,JRGrant_nd,stilesii,,,8.40556,-83.28333,1
13081,nd,JSolano,JSolano_nd,longa,,,10.53389,-83.50718,1
11022,nd,LAcosta,LAcosta_nd,mariae,,,9.38983,-84.14389,0
11280,nd,LAcosta,LAcosta_nd,pogonantha,,,9.67222,-83.05,1
11280,nd,LAcosta,LAcosta_nd,pogonantha,,,9.67222,-83.05,1
11387,nd,LAcosta,LAcosta_nd,mariae,,,9.675,-83.005554,0
12505,nd,LAcosta,LAcosta_nd,ramonensis,,,10.21954,-84.58798,1
12955,nd,LAcosta,LAcosta_nd,pogonantha,,,10.19778,-83.85667,1
12955,nd,LAcosta,LAcosta_nd,pogonantha,,,10.19778,-83.85667,1
13096,nd,LAcosta,LAcosta_nd,pogonantha,,,10.19111,-83.85778,1
13096,nd,LAcosta,LAcosta_nd,pogonantha,,,10.19111,-83.85778,1
13115,nd,LAcosta,LAcosta_nd,longa,,,10.19111,-83.85778,1
7044,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,rostrata,,,-2.366,-78.15,1
7189,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-1.416,-77.033,0
7189,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-1.416,-77.033,0
7189,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-1.416,-77.033,0
7200,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,rostrata,,,-1.05,-77.683,1
7298,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,rostrata,,,-1.483,-76.7,1
7470,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.7,-77.166,0
7470,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.7,-77.166,0
7470,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.7,-77.166,0
7549,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,rostrata,,,-0.283,-76.433,1
7598,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.283,-76.433,0
7598,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.283,-76.433,0
7598,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.283,-76.433,0
7599,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.116,-76.516,0
7599,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.116,-76.516,0
7599,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,aemygdiana,,,-0.116,-76.516,0
8390,nd,LBHolm-Nielsen,LBHolm-Nielsen_nd,nigripraefixa,,,1.066,-78.983,0
