taxa_name,pectoral_fin,pelvic_fin,pectoral_inferred,pelvic_inferred,pectoral_propagated,pelvic_propagated,paired_fin
Leptostomias_longibarba,?,1,?,1,0,1,3
Pimelodus_brevis,1,?,2,?,1,0,3
Careproctus_filamentosus,1,?,1,?,1,0,3
Nothobranchius_microlepis,1,?,2,?,1,0,3
Glyptothorax_interspinalus,1,?,2,?,1,0,3
Cottus_beldingii,1,?,1,?,1,0,3
Encheliophis_chardewalli,1,0,1,0,1,1,2
Aphyosemion_lujae,1,?,2,?,1,0,3
Astyanax_pellegrini,1,?,2,?,1,0,3
Wetmorella_tanakai,1,?,1,?,1,0,3
Bothus_lunatus,1,1,1,1,1,1,3
Salaria_fluviatilis,1,?,1,?,1,0,3
Ogilbyina_queenslandiae,1,1,1,1,1,1,3
Stethojulis_maculata,1,?,1,?,1,0,3
Oreoglanis_frenatus,1,?,2,?,1,0,3
Kryptolebias_caudomarginatus,1,?,1,?,1,0,3
Canthigaster_supramacula,1,1,1,2,1,1,3
Cynoglossus_purpureomaculatus,0,0,0,0,1,1,0
Genioliparis_lindbergi,1,?,1,?,1,0,3
Symphurus_leei,0,0,0,0,1,1,0
Neofundulus_parvipinnis,1,?,1,?,1,0,3
Macroparalepis_affinis,1,1,2,2,0,0,3
Hypoptychus_dybowskii,1,0,1,0,0,0,2
Ctenopoma_kingsleyae,1,1,1,1,1,1,3
Pimelodella_montana,1,?,2,?,1,0,3
Galaxias_zebratus,1,1,1,2,1,1,3
Assiculoides_desmonotus,1,1,1,1,1,1,3
Harpadon_microchir,?,1,?,2,0,1,3
Alectis_ciliaris,1,?,1,?,1,0,3
Trichomycterus_spelaeus,1,?,1,?,1,0,3
Triglops_jordani,1,?,1,?,1,0,3
Hypentelium_nigricans,?,1,?,2,0,0,3
Cynoglossus_capensis,0,0,0,0,1,1,0
Leporinus_friderici,?,1,?,2,0,0,3
Paralichthys_aestuarius,1,?,2,?,1,0,3
Hypostomus_ancistroides,1,?,2,?,1,0,3
Hoplerythrinus_unitaeniatus,1,1,2,1,0,0,3
Engyprosopon_natalensis,1,1,1,1,1,1,3
Cynoglossus_bilineatus,0,0,0,0,1,1,0
Pseudobunocephalus_amazonicus,1,?,2,?,0,0,3
Eustomias_digitatus,?,1,?,1,0,1,3
Ilyophis_brunneus,?,0,?,0,0,1,2
Leptoancistrus_cordobensis,1,?,2,?,1,0,3
Sorubim_maniradii,1,?,2,?,1,0,3
Trichomycterus_dispar,1,?,1,?,1,0,3
Kathetostoma_fluviatilis,1,?,2,?,1,0,3
Gymnothorax_castlei,0,0,0,0,1,1,0
Gymnotus_anguillaris,1,0,2,0,0,0,2
Nettenchelys_dionisi,0,0,0,0,1,1,0
Melamphaes_pumilus,?,1,?,2,0,1,3
Bodianus_scrofa,1,?,1,?,1,0,3
Stokellia_anisodon,1,?,2,?,1,0,3
Himantolophus_borealis,1,0,1,0,1,1,2
Cinetodus_crassilabris,1,1,2,2,0,0,3
Astronesthes_ijimai,?,1,?,1,0,1,3
Nannocampus_weberi,?,0,?,0,0,1,2
Lepidogalaxias_salamandroides,1,?,2,?,1,0,3
Bothrocara_hollandi,1,?,1,?,1,0,3
Gymnelus_retrodorsalis,1,?,1,?,1,0,3
Lycodes_paucilepidotus,1,?,1,?,1,0,3
Myctophum_affine,1,1,2,2,0,0,3
Cynoglossus_interruptus,0,0,0,0,1,1,0
Hippichthys_heptagonus,?,0,?,0,0,1,2
Eigenmannia_humboldtii,1,0,2,0,0,0,2
Benthenchelys_pacificus,?,0,?,0,0,1,2
Diaphus_schmidti,?,1,?,2,0,1,3
Siokunichthys_nigrolineatus,?,0,?,0,0,1,2
Chasmocranus_brevior,1,?,2,?,1,0,3
Peckoltia_oligospila,1,1,2,2,0,0,3
Carpiodes_velifer,?,1,?,2,0,0,3
Icelinus_tenuis,1,?,1,?,1,0,3
Pterobunocephalus_depressus,1,?,2,?,0,0,3
Heteroconger_pellegrini,0,0,0,0,1,1,0
Rineloricaria_hasemani,1,?,2,?,1,0,3
Perulibatrachus_aquilonarius,1,1,2,2,1,1,3
Pterygotrigla_macrolepidota,1,?,1,?,1,0,3
Hemibagrus_hainanensis,1,1,2,2,0,0,3
Symphurus_billykrietei,0,0,0,0,1,1,0
Stauroglanis_gouldingi,1,?,1,?,1,0,3
Syngnathus_taenionotus,?,0,?,0,0,1,2
Echiodon_drummondii,1,0,1,0,1,1,2
Parapercis_okamurai,1,?,2,?,1,0,3
Halichoeres_trimaculatus,1,?,1,?,1,0,3
Cirripectes_quagga,1,?,1,?,1,0,3
Lycenchelys_novaezealandiae,1,?,1,?,1,0,3
Uranoscopus_kaianus,1,?,2,?,1,0,3
Cyprinella_chloristia,1,1,2,2,0,0,3
Himantolophus_appelii,1,0,1,0,1,1,2
Synodus_jaculum,?,1,?,2,0,1,3
Pelteobagrus_tonkinensis,1,?,2,?,1,0,3
Pimelodella_eigenmanniorum,1,?,2,?,1,0,3
Rachovia_hummelincki,1,?,1,?,1,0,3
Pervagor_randalli,1,0,1,0,1,1,2
Anchoa_spinifer,?,1,?,1,0,0,3
Lycodichthys_antarcticus,1,?,1,?,1,0,3
Symphurus_nebulosus,0,0,0,0,1,1,0
Synodontis_dhonti,1,?,2,?,1,0,3
Anchoviella_guianensis,?,1,?,1,0,0,3
Diplostomias_indicus,?,1,?,1,0,1,3
Ancylopsetta_dendritica,1,?,2,?,1,0,3
Patagonotothen_ramsayi,1,?,2,?,0,0,3
Hilsa_kelee,1,1,1,2,1,0,3
Chascanopsetta_elski,1,1,1,1,1,1,3
Malapterurus_teugelsi,1,?,2,?,1,0,3
Rhamdella_montana,1,?,2,?,1,0,3
Anarchias_supremus,0,0,0,0,1,1,0
Corydoras_rabauti,1,1,2,2,0,0,3
Pseudolabrus_gayi,1,?,1,?,1,0,3
Mastacembelus_ellipsifer,1,?,1,?,0,0,3
Ophichthus_tchangi,?,0,?,0,0,1,2
Parachanna_africana,1,?,1,?,1,0,3
Dysomma_polycatodon,?,0,?,0,0,1,2
Trichomycterus_heterodontus,1,?,1,?,1,0,3
Moringua_javanica,0,0,0,0,1,1,0
Scleropages_aureus,1,?,1,?,1,0,3
Pseudobagrus_brachyrhabdion,1,?,2,?,1,0,3
Gogangra_laevis,1,?,2,?,1,0,3
Clepticus_brasiliensis,1,?,1,?,1,0,3
Gagata_cenia,1,?,2,?,0,0,3
Limnothrissa_miodon,1,1,1,1,1,0,3
Alosa_suworowi,1,?,1,?,1,0,3
Sebastes_owstoni,1,?,2,?,0,0,3
Synchirus_gilli,1,?,1,?,1,0,3
Sargocentron_marisrubri,?,1,?,2,0,1,3
Arnoglossus_oxyrhynchus,1,1,1,1,1,1,3
Oryzias_latipes,1,1,2,2,0,0,3
Silurus_triostegus,1,?,1,?,1,0,3
Paraliparis_auriculatus,1,0,1,0,1,1,2
Canthigaster_epilampra,1,1,1,2,1,1,3
Noturus_placidus,1,?,2,?,1,0,3
Platyclarias_machadoi,1,?,1,?,1,0,3
Cyclocheilichthys_enoplos,?,1,?,2,0,0,3
Hyalobagrus_ornatus,1,1,2,2,0,0,3
Ammodytoides_kimurai,1,?,1,?,1,0,3
Tetractenos_hamiltoni,1,1,1,2,1,1,3
Lythrurus_alegnotus,1,1,2,2,1,0,3
Mesocottus_haitej,1,?,1,?,1,0,3
