Species,Floral Syndrome
Calochortus albus,1
Calochortus amabilis,1
Calochortus amoenus,1
Calochortus argillosus,4
Calochortus bruneaunis,4
Calochortus catalinae,4
Calochortus clavatus,4
Calochortus coeruleus,2
Calochortus concolor,4
Calochortus dunnii,4
Calochortus elegans,2
Calochortus excavatus,4
Calochortus fimbriatus,0
Calochortus flexuosus,4
Calochortus greenei,4
Calochortus invenustus,0
Calochortus kennedyi,4
Calochortus leichtlinii,4
Calochortus longebarbatus,4
Calochortus luteus,4
Calochortus macrocarpus,4
Calochortus minimus,3
Calochortus monanthus,0
Calochortus monophyllus,2
Calochortus nudus,3
Calochortus obispoensis,2
Calochortus palmeri,4
Calochortus panamintensis,0
Calochortus persistens,4
Calochortus plummerae,4
Calochortus pulchellus,1
Calochortus raichei,1
Calochortus simulans,0
Calochortus splendens,4
Calochortus striatus,0
Calochortus superbus,4
Calochortus syntrophus,0
Calochortus tiburonensis,2
Calochortus tolmiei,2
Calochortus umbellatus,3
Calochortus uniflorus,3
Calochortus venustus,4
Calochortus vestae,4
Calochortus weedii,4
Calochortus westonii,2
