X,longitude,latitude,altitude,floral.syndrome,meanalt,species
1,-121.0762906,38.7123263,188.4,1,415.20798816568,Calochortus_albus
339,-122.53999,38.54427,224.9,1,398.313636363636,Calochortus_amabilis
427,-118.645595,35.73695,1251.5,1,902.812121212121,Calochortus_amoenus
577,-118.72094,34.31272,372.4,4,337.416666666667,Calochortus_catalinae
769,-120.72123,35.335245,212.4,4,730.619101123596,Calochortus_clavatus
947,-120.4465,38.7835,1239.7,2,1387.15416666667,Calochortus_coeruleus
971,-116.55,32.83333,1095.5,4,1124.06,Calochortus_concolor
986,-116.856618,32.646712,268.6,4,764.657894736842,Calochortus_dunnii
1024,-123.53783,41.91788,1567.9,2,1564.67142857143,Calochortus_elegans
1031,-118.09,36.5677,1383.6,4,1719.06595744681,Calochortus_excavatus
1231,-115.59401938,35.56034993,1504.7,4,1412.88333333333,Calochortus_kennedyi
1261,-120.3199997,39.8400002,1567,4,2219.80408163265,Calochortus_leichtlinii
1408,-120.444016,34.713038,151.5,4,1363.43043478261,Calochortus_longebarbatus
1454,-122.45618,37.87919,45.8,4,291.091913746631,Calochortus_luteus
1825,-120.2399979,40.6500015,1590.1,4,1308.6375,Calochortus_macrocarpus
1833,-119.802796,37.758586,1882.7,3,1880.44137931034,Calochortus_minimus
1866,-121.0329496,38.7617763,381.5,2,766.054838709677,Calochortus_monophyllus
1897,-121.008267,39.974121,1218.1,3,1501.14230769231,Calochortus_nudus
1923,-120.66667,35.31667,306.3,2,262.507407407407,Calochortus_obispoensis
1951,-120.61667,36.36667,1291.7,4,1371.65054945055,Calochortus_palmeri
2058,-122.77361,41.73833,1781.8,4,1038.35,Calochortus_persistens
2068,-118.63312,34.119883,383.3,4,710.837288135593,Calochortus_plummerae
2245,-121.89218,37.94798,460.8,1,539.996240601504,Calochortus_pulchellus
2380,-123.12361,38.61532,274,1,340.133333333333,Calochortus_raichei
2428,-120.74167,36.37028,872,4,673.454861111111,Calochortus_splendens
2645,-120.61667,36.36667,1291.7,4,882.644186046512,Calochortus_superbus
2738,-122.486,37.9099,182.8,2,127.14,Calochortus_tiburonensis
2748,-123.75,42.05,591.6,2,591.405494505495,Calochortus_tolmiei
2839,-123.460149,40.641822,635.2,3,350.077165354331,Calochortus_umbellatus
2966,-121.1212,35.6004,16.4,3,225.919512195122,Calochortus_uniflorus
3007,-121.17871,36.5054,383.7,4,673.437219730942,Calochortus_venustus
3231,-122.587509,38.765862,384.6,4,538.89375,Calochortus_vestae
3341,-118.628009,36.191703,1906.6,2,1861.55,Calochortus_westonii
