Species,PolSyn_Color,Hue,Ratio_MidTop,Ratio_BotTop,Peduncule,L_corolla,L_corollaTube,Vol_ovary,Area_anther,L_stamen,L_corollaOpening,stamenExsertion,W_corollaTube_widest,W_corollaTube_narrowest,Ratio_Lcorolla_StraightestLine,Peduncle_Log,W_corollaTube_widest,W_corollaTube_narrowest,L_corollaOpening,Ratio_widest_narrowest,PC1,PC2,PC3,PC4,PolSyn_Coarse,Hue,Bicolored,Orientation,Fruit,Elevation,Inflo,,
Burmeistera_almedae_LL42                  ,2,dull,0.433333333,0.75,30,37,14,180,18,40,9.7,21,7,3,0.990039132,3.401197382,7,5,6,0.714285714,-2.304230463,-4.18314486,-3.8852369,-2.07875038,2,dull,no,horizontal,berry,2284.7,solitary,,
Burmeistera_ceratocarpa_LL15              ,2,dull,0.58,0.88,43,25,9,144,24,34,13,23,6,2.5,1,3.761200116,6,2.5,13,0.416666667,-3.541747396,-5.218881783,-1.522772,-1.129009,2,dull,no,vertical,berry,1758.6,solitary,,
Burmeistera_chirriquiensis_LL132          ,2,dull,0.266666667,0.4,100,28,12,324,24,25,12.5,15,10,2.5,1,4.605170186,10,4,10,0.4,-2.093274619,-4.679824856,-4.6010409,2.98952018,2,dull,no,horizontal,berry,2115.5,solitary,,
Burmeistera_crebra_LL44                   ,2,dull,0.257142857,0.428571429,65,26,14,52.9375,22.605,29,10.5,8.75,7,2,1,4.17438727,6,2,11,0.333333333,-2.887460026,-4.252002142,-5.1237349,1.54609491,2,dull,no,vertical,berry,2200,solitary,,
Burmeistera_cyclostigmata_LL4             ,2,dull,0.5,1.375,35,33,7,216,20,35,10,20,5.5,4,1,3.555348061,4,4,4,1,-3.675285226,-10.08400279,-2.573719,-6.23118532,2,dull,no,vertical,berry,1188.1,solitary,,
Burmeistera_dendrophila_LL122             ,2,dull,0.3,0.642857143,51,32,18,225,29.25,52,12,27,9,4,1,3.931825633,9,4,16,0.444444444,-0.808806614,-5.192691415,-5.2284734,-2.11367462,2,dull,no,vertical,berry,1917.2,solitary,,
Burmeistera_domingensis_LL81              ,2,dull,0.487012987,0.584415584,37,20,20,94.299,17.94,24.5,9,11.4,6.5,2.67,1,3.610917913,6.5,2.67,9,0.410769231,-3.903657278,-2.732876453,-2.5505755,0.98147404,2,dull,no,vertial,berry,500,solitary,,31.15736979
Burmeistera_mcvaughii_LL123               ,2,dull,0.383333333,0.7,70,25,8,96,21,21,11,5,7,2,1,4.248495242,4,4,6,1,-3.98190421,-6.311803314,-3.550069,0.51074332,2,dull,no,vertical,berry,1936,solitary,,22.98561404
Burmeistera_microphylla_LL43              ,2,dull,0.35,0.708333333,30,7,15,48,12,22,7,0,5,3,1,3.401197382,5,3,7,0.6,-5.972259343,-5.970949664,-4.332012,-0.53588782,2,dull,no,vertical,berry,1360.7,solitary,,
Burmeistera_morii_LL126                   ,2,dull,0.3,0.7375,37,20,11,100,15,21,7,6,5,1.5,1,3.610917913,5,1.5,7,0.3,-5.112280897,-7.429203571,-5.2052314,-1.43531242,2,dull,no,vertical,berry,1315,solitary,,
Burmeistera_obtusifolia_LL32              ,2,dull,0.307692308,0.892307692,43,35,15,441,24.5,32,11.5,8,6,2,1,3.761200116,4,6,11.5,1.5,-2.369695896,-8.734165814,-5.4397232,-3.85436789,2,dull,no,vertical,berry,2237.7,solitary,,
Burmeistera_parviflora_LL20               ,1,bright,0.338323353,0.616766467,25,9.5,3.5,12.5,3,8.5,4,0,3,1.5,1,3.218875825,3,1.5,4,0.5,-7.766812838,-5.887105271,-4.3568533,1.27890292,3,bright,no,vertical,berry,1992.5,solitary,,
Burmeistera_racemiflora_6                 ,2,dull,0.480769231,0.480769231,48.4,34,21.2,168.54,28.7,39,12,14,11.7,3.22,1,3.879499814,11.7,3.22,12,0.275213675,-1.093262607,-1.447025433,-2.6808932,1.07258005,2,dull,no,vertical,berry,1800,solitary,,
