phylogeny,scientificname,decimallatitude,decimallongitude,Subclade
Burmeistera_almedae,Burmeistera almedae Wilbur,8.86667,-82.55,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,8.92,-84.71,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.11028,-82.96193,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.13768,-82.95202,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.35,-83.29,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.55,-83.68,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.55,-83.68,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.60861,-83.81639,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.61666,-84.18333,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.64,-83.84,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.6541,-83.84068,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.65417,-83.84056,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.66,-83.88,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.66,-83.85,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.66,-83.85,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.66,-83.85,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.66106,-83.81842,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.69472,-83.77805,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.69583,-83.78166,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.71,-83.78,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.73138,-84.03111,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.74,-83.78,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.75,-83.78,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,9.91,-83.39,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10,-84.8333,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.00972,-83.96389,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.06,-83.85,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.08,-84.07,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.12278,-84.12083,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.12666,-84.11138,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.13,-84.1,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.13,-84.1,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.13,-84.09,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.16,-84.11,Burmeistera
Burmeistera_almedae,Burmeistera almedae Wilbur,10.28,-84.68,Burmeistera
Burmeistera_bullatifolia,Burmeistera bullatifolia Garzón & F. González,5.5497222,-75.9897222,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,-0.71667,-77.6,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,-0.58333,-79.36666,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,0.75,-78.0833,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,0.9,-78.1,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.06666,-78.03333,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.06666,-78.03333,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.08333,-78.01666,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.13333,-77.9667,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.13333,-77.96666,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.16666,-77.96666,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.23333,-77.96667,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.23333,-77.96666,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,1.5,-78,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,2.5,-76.8333,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,2.5,-76.8333,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,2.55587,-76.5262,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,2.63333,-76.9,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,2.66666,-76.83333,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,2.73389,-76.94917,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,3.8811,-72.8667,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,6.74494,-76.36649,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,6.75,-76.38333,Burmeistera
Burmeistera_ceratocarpa,Burmeistera ceratocarpa Zahlbr.,6.81683,-76.24176,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,8.75,-82.21667,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,8.76666,-82.25,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.02528,-82.80722,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.10278,-82.97361,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.1125,-82.95417,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.1125,-82.95417,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.12,-82.96,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.12875,-82.96432,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.13,-82.96,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.13333,-82.96667,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.26,-82.98,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.39,-83.16,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.39,-83.16,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.39861,-83.16944,Burmeistera
